mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
9ed5830ad605a6891bc67100393ec24bfeeefe4d,0,1,1,[RESOURCE],[RESOURCE]
8f2c5466fa963d93503e8cc46e1bb05c1c1f2185,0,1,1,[AbstractCalendar@ Day@ EventInfo@ AlarmInterface@ Alert@ EditEvent@ MonthByWeek@ RESOURCE],[EventInfo]
58fd430940fc630f04fc73f00e6c055f597bcbb7,0,1,1,[AbstractCalendar@ Day@ EventInfo@ Timezone@ AlarmInterface@ Alert@ EditEvent@ MonthByWeek@ SelectCalendarsSimple@ SelectCalendarsSync@ SelectSyncedCalendarsMultiAccount@ CalendarAppWidget@ RESOURCE],[RESOURCE]
c69517a077b91f6f0e30a8c2559a39d1e00bcdd3,0,1,1,[AllInOne@ EventInfo@ AgendaByDay@ Agenda@ AgendaList@ AgendaWindow@ Alert@ DismissAlarms@ CalendarAppWidget@ RESOURCE],[RESOURCE]
79173d9f1210bfe8ef29f0c00b4d83aa45162271,0,1,1,[RESOURCE],[RESOURCE]
1d68b3cdddfafcd79657379d668fc38b04f20c2b,0,0,0,[RESOURCE],[Day]
3e722154fa9fece6e2811278e32e8059feb0ddc4,0,1,1,[ColorChip@ Alert@ DismissAlarms@ DismissAllAlarms@ SnoozeAlarms@ RESOURCE],[RESOURCE]
5ef8101414f923a8fc9244d1b1b529b48d6d1276,1,1,2,[AllInOne@ Calendar@ CalendarSettings@ Day@ EventInfo@ Search@ StickyHeaderList@ AgendaByDay@ Agenda@ AgendaList@ AgendaWindow@ Alert@ Attendees@ EditEvent@ EventUtils@ MonthByWeek@ MonthWeekEvents@ SelectCalendars@ SelectCalendarsSimple@ SelectCalendarsSync@ CalendarAppWidget@ RESOURCE],[EditEvent@ RESOURCE]
047079a8bbb68e6589c7c1d1daa5b25ac92cfcd0,0,1,1,[RESOURCE],[RESOURCE]
604b2d999d1064f8549f86cb910582df2310a01a,0,1,1,[Calendar@ EventInfo@ Month@ RESOURCE],[Agenda@ Day@ Month@ Week]
4dcea88ce1c4653aaa1569d9d3bcb80b88c9de68,1,1,1,[Agenda@ AgendaList@ AgendaWindow@ Alert@ Calendar@ CalendarPreference@ ContactsHelper@ Day@ DismissAllAlarms@ EventInfo@ IcsImport@ Launch@ Month@ SelectCalendars@ Week@ RESOURCE],[EventInfo]
6afbaa2a78fde3cba4a5f8f964be92abb7527416,0,1,1,[RESOURCE],[RESOURCE]
00c94183f8a7016df27637f7262b8ff324eed7c3,0,0,0,[RESOURCE],[]
23d27a9df05a4d4455628b5c2fd8f1e0850fd19e,0,0,0,[RESOURCE],[]
4091aa502ef2b67ebca82e3987f3270d4f19e3c2,0,1,1,[RESOURCE],[AllInOne@ RESOURCE]
3b0c0b8dd178b973929b1ca511357b1ae90a61b6,0,1,1,[RESOURCE],[RESOURCE]
9b67695b8a70a018493fa01924d67dbdb9560bd3,0,0,0,[RESOURCE],[Alert]
c8b75d0d4387dc02b617c8bb7432afd5071d0fc8,0,1,1,[Alert@ DismissAlarms@ GlobalDismiss@ RESOURCE],[RESOURCE]
0d4141e71e0828b45a44924b9258ca9fb568fa08,0,0,0,[RESOURCE],[Alert]
75d80dca513294109e5eb68c7c75ebc5b78eb5ae,0,1,1,[RESOURCE],[RESOURCE]
7ccb211baabd22bf394f158ae116df414fedb4de,0,0,0,[RESOURCE],[Day]
56b85216670c91ed12bbdf73e0fd3023a13b874f,0,1,1,[RESOURCE],[RESOURCE]
524b1ebbeb9dafc66cbaef9ac595d97ab55d063b,0,1,1,[Alert@ DismissAlarms@ DismissAllAlarms@ SnoozeAlarms@ RESOURCE],[RESOURCE]
2d078d53767ed634a22826a7c088efc91c528903,0,1,1,[RESOURCE],[RESOURCE]
b023b8bfbf790476a386f1b2f427fe5dcca5fc43,0,1,1,[AllInOne@ Calendar@ Day@ EventInfo@ AgendaList@ AgendaWindow@ Alert@ EditEvent@ MonthWeekEvents@ SimpleDayPicker@ SelectCalendarsSync@ RESOURCE],[RESOURCE]
f32361a70647652a07e0387693e40d8e4f63d142,0,1,1,[Alert@ DismissAlarms@ GlobalDismiss@ RESOURCE],[RESOURCE]
88d0b0438e41ad3aff04879b6bb0f4789ee05936,0,1,1,[RESOURCE],[EditEvent@ RESOURCE]
f04883c40f4b805fcc2c2c10c12b569eae085bb9,0,1,1,[RESOURCE],[SelectCalendarsSimple@ RESOURCE]
ce2719263ef6cc77ea2c24d5cb8602c763a5c895,0,1,1,[AllInOne@ Calendar@ CalendarSettings@ Day@ EventInfo@ Search@ AgendaByDay@ Agenda@ AgendaList@ AgendaWindow@ AlarmInterface@ Alert@ DismissAlarms@ QuickResponse@ SnoozeAlarms@ EditEvent@ MonthByWeek@ SelectSyncedCalendarsMultiAccount@ CalendarAppWidget@ RESOURCE],[RESOURCE]
f388d55d28296a38eb17d7d7e497edb427c0a1ab,0,1,1,[RESOURCE],[RESOURCE]
