mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
b183e4f656e21a62aa2395df03a7def1c51f72f8,1,1,4,[Music@ Donate@ Main@ AlbumSongs@ ArtistSong@ BaseQueue@ Folder@ SlidingQueue@ SongsList@ Timber4Queue@ Folders@ Settings@ BaseNowplaying@ StyleSelector@ SubStyleSelector@ RESOURCE],[Music@ Settings@ LastFmUserRest@ RestFactory@ BaseNowplaying@ QuickControls@ RESOURCE]
c1bb6d9f9f758cfd91c9b64c7b02d959f181637f,0,0,0,[RESOURCE],[Queue@ BaseNowplaying@ QuickControls@ CircleImage]
f9d9f7ff83be290a7f2d3a8843109f05de62a9fa,1,1,1,[Donate@ Main@ PlaylistDetail@ AlbumSongs@ ArtistSong@ BaseQueue@ PlayingQueue@ Playlist@ SongsList@ Songs@ PlaylistPager@ PopupImage@ RESOURCE],[Base@ BaseThemed@ NowPlaying@ RESOURCE]
c3cbe373c1e6e0a9d6dbe69f413e372c67a42085,0,0,0,[Music],[RESOURCE]
3aff0b01860c9966433f4234e03d53db31774207,0,1,1,[RESOURCE],[RESOURCE]
05ef5d7f4ec93701084f1623e65d7a261fbcbcdf,0,1,1,[RESOURCE],[RESOURCE]
c5550720c32ec6e6977bd9db734fb924464c0eba,0,0,0,[RESOURCE],[Artist@ SongsList]
b39934b6018f89ad082cdb2c551c633e804b185f,0,0,0,[AlbumDetail@ BaseNowplaying@ RESOURCE],[Artist]
962912681e51b86205f83007e7e7002ae158ce4c,0,0,0,[Settings],[Base@ Main@ Album@ AlbumSongs@ Artist@ ArtistAlbum@ ArtistSong@ BaseQueue@ PlayingQueue@ Search@ SongsList@ AlbumDetail@ ArtistDetail@ QuickControls@ RESOURCE]
8fa3d3d8ae85aef0d51cdbb1eff27cb219e94f4f,0,0,0,[Folder@ Folders@ RESOURCE],[Music]
9ae127610c18e22716ad4d07471e3955fd11f347,0,1,1,[Main@ RESOURCE],[RESOURCE]
b74e57565db36fa8a443b490160d4f84dfb681a4,0,1,1,[RESOURCE],[RESOURCE]
a0ab61ab1763346035b809eb0a740362c5ccd97d,0,0,0,[AlbumDetail@ Artist@ BaseNowplaying@ RESOURCE],[Music]
856910bb5679c25f60245f7d2b2f424f921c7c3d,0,1,1,[RESOURCE],[RESOURCE]
