mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
c623d28723ba1734cac23345ff3cdb3774aa8f51,0,0,0,[AndorsTrail@ Combat@ GameRound],[]
a87605661bc78363ad7581cab6655e304bd0a33e,0,0,0,[Main@ Combat@ Conversation@ Map@ MonsterMovement],[]
68b60a02863be9a525f9d6d3b2ad8b9464b9636a,1,1,5,[AndorsTrail@ About@ ActorConditionInfo@ Conversation@ DisplayWorldMap@ Heroinfo@ ItemInfo@ LevelUp@ LoadSave@ Loading@ Main@ MonsterEncounter@ MonsterInfo@ Shop@ SkillInfo@ StartScreen@ Heroinfo_Inventory@ Heroinfo_Quests@ Heroinfo_Skills@ Heroinfo_Stats@ Shop_Buy@ Shop_Sell@ StartScreen_MainMenu@ StartScreen_NewGame@ Context@ Input@ Item@ Map@ Movement@ WorldMap@ Tile@ AbilityModifierInfo@ Combat@ ItemContainer@ ItemEffects@ ItemEffects_OnHitReceived@ ItemEffects_OnUse@ Quickitem@ QuickslotsItemContainer@ SelectableText@ ShopItemContainer@ SkillList@ Status@ Toolbox@ TraitsInfo@ VirtualDpad],[AndorsTrail@ Conversation@ Map@ MonsterMovement@ MonsterSpawning@ Movement@ VisualEffect@ Main]
c667305f259da957657ede8ff7a3d6d82b332c93,0,0,0,[],[Heroinfo_Inventory@ Heroinfo_Skills@ Shop@ ItemContainer@ ShopItemContainer@ SkillList]
f4c762026d9737967fc0aca181b51d2124e81acf,0,0,0,[MonsterMovement@ MonsterSpawning@ Movement@ Main],[]
76720094c1624087ca7811891d8125d17b57d447,0,0,0,[Main@ GameRound],[]
29973a74ddeaa0a5f28d1677c9541909be48b812,0,0,0,[ActorStats@ Conversation],[]
efb3cf51411bd470daaff7aa2db1f26b254af236,0,0,0,[],[]
edecf946b268d94590e05cd3325a50b1a39f06b2,0,0,0,[Combat],[]
7aedeae7baf697fddd54372b22f65b22d694dd58,1,1,4,[Main@ ActorStats@ Combat@ Movement@ Status],[AndorsTrail@ DisplayWorldMap@ Main@ Combat@ Item@ Movement@ WorldMap@ Status@ Toolbox]
159d977187c5fd14660a7e9b6f9808d2330a7445,0,0,0,[Main@ GameRound],[]
aa49668008a75a595287943fe4b3529848108b27,0,0,0,[],[]
e02e55d041db4e3f7a4c82780bd68fc7a712730f,0,0,0,[AndorsTrail@ Heroinfo_Skills@ SkillInfo@ Conversation@ Skill@ WorldMap@ Main@ SkillList],[ActorStats]
5b23b29111037edd83f14c1935106f80617e8c94,0,1,1,[AndorsTrail@ Combat@ GameRound],[Combat]
c42e5b80bd6579ddcb88bdbf002ddc703b18736c,1,0,0,[],[]
fafcc015e0cc23886bf59e6d83a12ea08130d2c2,1,1,4,[AndorsTrail@ About@ ActorConditionInfo@ Conversation@ Heroinfo@ Heroinfo_Inventory@ Heroinfo_Quests@ Heroinfo_Skills@ Heroinfo_Stats@ ItemInfo@ LevelUp@ LoadSave@ Loading@ Main@ MonsterEncounter@ MonsterInfo@ Shop@ SkillInfo@ StartScreen@ ActorStats@ Combat@ GameRound@ Input@ Item@ Movement@ Skill@ VisualEffect@ Tile@ AbilityModifierInfo@ BaseTraitsInfo@ ItemContainer@ Quickitem@ ShopItemContainer@ SkillList@ Status@ TraitsInfo@ VirtualDpad],[Conversation@ MonsterEncounter@ MonsterInfo@ Shop]
0393447bf3e9eaeb96fc7f2233e640ddf42b0280,0,0,0,[],[AndorsTrail]
7a02014e1b445c1eb0a997ba9708b56eecd2abf1,1,1,1,[AndorsTrail@ Skill],[AndorsTrail]
f418aa3e3ee76577fdfe5ea01dacc6290200659f,0,0,0,[Combat@ Tile],[Conversation@ MonsterMovement@ Movement@ VisualEffect@ Main]
4cbfb0bb484faabb1e849e901db6b2a416135be5,1,0,0,[],[]
e4575f59cb88a53d32ca5d481703574d9992480c,0,0,0,[Conversation],[]
544ecd1c497099eb67da403e027af221241708b7,1,0,0,[],[Heroinfo_Skills]
3a91b49cda4c15c835a0e4e8e06febe266712c37,1,1,1,[AndorsTrail@ Combat@ GameRound],[Combat]
0a8259d5a8b4387f06765f88cda64296539734e9,0,0,0,[],[]
04f95ce7f2bc1d58ab149854a8a3c633956cb0dd,0,1,2,[AndorsTrail@ Conversation@ Shop@ ActorStats@ Combat@ GameRound@ Movement],[Conversation@ Movement]
8c876225b42c9233930c4b82ba1a06af644966c0,0,0,0,[],[]
e300c1383eb06892034d7e5cf0206e1993ff1bdf,0,1,1,[Conversation],[Conversation]
332eee0736b36ff1dd37358c41db26c8f4e3a188,0,1,1,[AndorsTrail@ About@ ActorConditionInfo@ Conversation@ DisplayWorldMap@ Heroinfo@ ItemInfo@ LevelUp@ LoadSave@ Loading@ Main@ MonsterEncounter@ MonsterInfo@ Shop@ SkillInfo@ StartScreen@ Heroinfo_Inventory@ Heroinfo_Quests@ Heroinfo_Skills@ Heroinfo_Stats@ Shop_Buy@ Shop_Sell@ StartScreen_MainMenu@ StartScreen_NewGame@ Context@ Input@ Item@ Map@ Movement@ WorldMap@ Tile@ AbilityModifierInfo@ Combat@ ItemContainer@ ItemEffects@ ItemEffects_OnHitReceived@ ItemEffects_OnUse@ Quickitem@ QuickslotsItemContainer@ SelectableText@ ShopItemContainer@ SkillList@ Status@ Toolbox@ TraitsInfo@ VirtualDpad],[Conversation]
69ca9ec3af3c34ccbf36828731c68571ab22065f,0,1,3,[AndorsTrail@ DisplayWorldMap@ Main@ ActorStats@ Combat@ GameRound@ Item@ Movement@ WorldMap@ Status@ Toolbox],[Heroinfo_Inventory@ ItemInfo@ ActorStats@ Item@ Skill@ Main]
40da3e5dec6fcb2758d12c9f242b3b57f49f88a2,1,0,0,[],[Main@ Heroinfo_Inventory@ Heroinfo_Skills@ Shop@ Conversation@ Item@ Map@ MonsterMovement@ MonsterSpawning@ Movement@ ItemContainer@ Quickitem@ QuickslotsItemContainer@ ShopItemContainer@ SkillList]
