mergeID,isConfliting,existsCommonSlices,totalCommonSlices
0d401eabcba2319adf6ed31d62bf2030740c5474,1,1,2
dea37f653c4ec0e39ea3c8d30809996660b5816f,1,1,18
8214aaeb6dc7f1b6906ac2a134b85cad63bd42be,0,0,0
d456e2fb6c2e1f0669187d8b8fe48f36f4f6cef5,0,1,8
b572e4b935dc5cfc0f20af2b7104146a180fa5de,0,0,0
75fd0f40c642f3a4fc66dfa17620417d78dd2571,1,1,6
34923cf74ba9a09e10276bc919f05ddadc7ab6f7,0,1,6
ff5202a5f6483e6082ec081ae0ec87f9eba4d967,0,0,0
09ee01c787714ce78e1fa245c786ffda28688d04,0,0,0
8fa5936eb04ebf9bb06e3dac6e21983c55a96fbc,0,0,0
16b5c6b9ad29bee58dec8aa301b21a2992d63d00,0,1,1
bbfb414695f57029033d01bf4d26e2c9dcef54a5,0,1,6
5611205f1d5bc06bc89a73ac27f70098a09bd9ae,1,1,1
9127ca6906fea1b1598769eb637f3ef421a01bc8,0,0,0
c0b85157a9c44a6374e749984e8a55d45868998f,0,1,1
7ed317910043b9688ec95462e3b35e2b57aacb60,0,1,9
25f5eb193e1f6bc7cceaf95676dbc59a9c6d7ffb,0,0,0
7c9d9e7b3a56229f97cf1bf193f61d4aedd09806,1,1,7
4852ca8dd4578abbd651907aa3065af0dfaf2b4c,0,0,0
9284d44907f727dc0a101c3239f0a5a01d904d44,0,0,0
f299079851589e2af2d4aa93a77eecda6438b004,1,1,2
3351db65273a8d8ff1d012e00025e728cc428419,1,1,3
fdf2cae2cee2f2d7e05f923da700a6d61471a081,0,1,2
25a36a4fe70423625e454b172aa46cbe48a3cfc9,0,1,3
1e7e893321e3939bf773349d41efc18caad7ab99,0,1,4
8d62faf6c426850597d3f5d7f06e67ce5f0ff019,0,0,0
9bfacf23cbcdbcdd79157bef18006487e7b59c0c,0,1,5
f531f284fb25f7ed8646c398974d70d93726aeda,0,0,0
b22ad95e2fe78bc03a43c83dfef6232a187d8fdd,0,1,3
17c9af3541892b2985bb951e90ca33c5cf77c7e2,1,1,1
