mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
0d401eabcba2319adf6ed31d62bf2030740c5474,1,1,1,[Authenticator],[Authenticator@ ExpandableUploadList@ ErrorMessage]
dea37f653c4ec0e39ea3c8d30809996660b5816f,1,1,2,[Authenticator@ FileSync@ SamlWebDialog],[Authenticator@ SsoWebClient@ File@ SamlWebDialog@ SsoWeb]
8214aaeb6dc7f1b6906ac2a134b85cad63bd42be,0,0,0,[],[]
d456e2fb6c2e1f0669187d8b8fe48f36f4f6cef5,0,1,2,[Authenticator@ SsoWebClient@ FileDataStorage@ Db@ Media@ MediaBinder@ File@ Operations@ FileObserver@ FileSync@ ConflictsResolve@ ErrorsWhileCopying@ FileDisplay@ LogHistory@ Move@ UploadFiles@ ConfirmationDialog@ SamlWebDialog@ ExtendedList@ FileDetail@ LocalFileList@ OCFileList@ FileDownload@ PreviewImage@ PreviewImagePager@ PreviewMedia@ PreviewVideo],[FileDataStorage@ Meta@ File@ FileListList]
b572e4b935dc5cfc0f20af2b7104146a180fa5de,0,0,0,[],[OCFileList]
75fd0f40c642f3a4fc66dfa17620417d78dd2571,1,1,2,[Operations@ CreateFolderDialog@ RenameFileDialog@ ErrorMessage],[FileDetails@ FileList@ GmailEmailList@ GmailEmail@ GmailSendMail@ Image@ Move@ Notification@ PassCodeRequest@ PassCode@ RemoveConfirmation@ Settings@ Share@ UploadFiles@ Upload@ AccountAuthenticator@ Authenticator@ AuthenticatorTask@ FileDataStorage@ ConflictsResolve@ ErrorsWhileCopying@ File@ FileDisplay@ FolderPicker@ GenericExplanation@ LogHistory@ UploadPath@ FileListList@ Group@ MyExpandableList@ NavigationDrawerList@ ConfirmationDialog@ CreateFolderDialog@ CredentialsDialog@ RemoveFileDialog@ RenameFileDialog@ SamlWebDialog@ SharePasswordDialog@ UploadSourceDialog@ AuthenticatorAccountDetails@ AuthenticatorGetStarted@ ExtendedList@ FileDetail@ OCFileList@ PreviewImage@ PreviewImagePager@ PreviewMedia]
34923cf74ba9a09e10276bc919f05ddadc7ab6f7,0,0,0,[AdvancedX509Trust@ Authenticator@ SsoWebClient@ FileDataStorage@ Db@ FileObserver@ Media@ MediaBinder@ File@ AbstractOwnCloudSync@ ContactSync@ FileSync@ AccountSelect@ ConflictsResolve@ ErrorsWhileCopying@ FileDisplay@ InstantUpload@ UploadFiles@ FileListList@ LocalFileList@ SamlWebDialog@ ConfirmationDialog@ ExtendedList@ FileDetail@ OCFileList@ FileDownload@ PreviewImage@ PreviewMedia@ PreviewVideo],[]
ff5202a5f6483e6082ec081ae0ec87f9eba4d967,0,0,0,[FileDataStorage@ UploadFiles],[]
09ee01c787714ce78e1fa245c786ffda28688d04,0,0,0,[],[]
8fa5936eb04ebf9bb06e3dac6e21983c55a96fbc,0,0,0,[FileListList@ ExtendedList],[]
16b5c6b9ad29bee58dec8aa301b21a2992d63d00,0,0,0,[FileSync@ FileDisplay@ FileDetail],[FileListList]
bbfb414695f57029033d01bf4d26e2c9dcef54a5,0,0,0,[Authenticator@ ConflictsResolve@ File@ FileDisplay@ FolderPicker@ GenericExplanation@ LogHistory@ PassCode@ UploadFiles@ NavigationDrawerList@ ConfirmationDialog@ PreviewImage],[]
5611205f1d5bc06bc89a73ac27f70098a09bd9ae,1,0,0,[Authenticator@ Operations@ File@ FileDisplay@ SamlWebDialog],[]
9127ca6906fea1b1598769eb637f3ef421a01bc8,0,0,0,[FileSync@ FileDisplay@ Move@ ExtendedList@ OCFileList],[]
c0b85157a9c44a6374e749984e8a55d45868998f,0,0,0,[],[AdvancedX509Trust@ Authenticator@ SsoWebClient@ FileDataStorage@ Meta@ File@ FileObserver@ Operations@ AbstractOwnCloudSync@ ContactSync@ FileSync@ AccountSelect@ ConflictsResolve@ CopyToClipboard@ FileDisplay@ Hook@ UploadFiles@ CertificateCombinedException@ FileListList@ LocalFileList@ SslCertificate@ SslError@ X509Certificate@ SamlWebDialog@ FileDetail@ OCFileList@ FileDownload@ PreviewImage@ PreviewMedia@ PreviewVideo]
7ed317910043b9688ec95462e3b35e2b57aacb60,0,1,2,[OCNotification@ FileSync],[OCNotification@ FileSync]
25f5eb193e1f6bc7cceaf95676dbc59a9c6d7ffb,0,0,0,[ImageCustom@ PreviewImage],[ThumbnailsCache]
