mergeID,isConfliting,existsCommonSlices,totalCommonSlices
4f8fbf9ed98f646c994d890dc8fd0ffab32e7072,0,0,0
ae849077c78770f096f40e9360250b9e32d14f40,0,0,0
95f5085a91be1a360f758e6e990c10d2a5dc128f,0,0,0
332ed1b883aa6a1b76beeca857551e9fc5b01202,0,1,1
162aa9afcfd629e90b84ecfe4d6287c7c671958a,0,0,0
1a460979183b26a0474c129d5aa27d0e6b796e1c,0,0,0
2c3f7921d212f3769c8308cf56d51573da541dfc,0,0,0
0ac3706d4fc107034395c190be0bb2365dd822e6,0,0,0
0fea81a82366ca23e53263ddcf5986a7f0367fd4,0,0,0
1ccbdfab497c68bdb92041b6bbb469c75e57fd8f,0,0,0
66d36ec00f4932d17ba10eb0b81ed47c8ea94d49,0,0,0
67aca21858cbc407260ce6742bb59ddd8bca5657,0,0,0
b5365e2d3453d06a94967a9579ab9c1718238a56,0,0,0
7da9e8876be9ef8dfd1a54c170d62d5dd8de16f1,0,1,2
8337739ab44af3c52b30f194fa06c09ba30a2dc2,1,1,4
fdf3fea58477ef6cbf4f647fbf4667026027d498,0,0,0
07c2818cc5d67f27623673b94a4759558d42d8ce,0,1,3
dd6d07ada181a5cd05af3e976b31f3f4ad157aea,0,0,0
c921eba52342f52038e5ac6f9a088dde24d10c9e,0,0,0
cd0d23d2606c35d783457f2a945f539382018285,0,0,0
5526937698c6d45188ff273a3b18866da443c29c,1,1,2
0eab73d85bf29df0ee7d161d370e55ddea392350,0,0,0
1bb1f0990f6b9fb6b30383083aa592fd40c4c72e,1,1,5
8683277627f4cf60b4093c8b8e5276264af65845,0,0,0
85e1924085793ec4a19f8ebbb6453fde819ef85b,0,0,0
c7d2975039d209556c5dc37a424549a4e9bba25c,0,0,0
98a0b46bed65b6489923be7364bb9894901ae6fc,0,0,0
58e7118618b256f0a0cdff8750d5e6bb3c8ba8a8,0,0,0
f6794d170c820dffbc653c269bb031abc020ab45,0,1,2
5d36790182e1b9f8c624de06681698f43e243457,0,1,1
