mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
4f8fbf9ed98f646c994d890dc8fd0ffab32e7072,0,0,0,[FeedInfo@ Main@ OnlineFeed@ Feedlist@ Download@ DB@ PodDB@ RESOURCE],[Feed]
ae849077c78770f096f40e9360250b9e32d14f40,0,1,1,[RESOURCE],[BackedMediaPlayer@ About@ AddFeed@ Audioplayer@ DefaultOnlineFeed@ DirectoryChooser@ Download@ DownloadAuthentication@ DownloadLog@ FeedInfo@ FeedItemlist@ FlattrAuth@ Itemview@ Main@ Mediaplayer@ MiroGuideCategory@ MiroGuideChannel@ MiroGuideMain@ MiroGuideSearch@ OnlineFeed@ OpmlFeedChooser@ OpmlImportBase@ OpmlImportFromIntent@ OpmlImportFromPath@ OrganizeQueue@ PlaybackHistory@ Preference@ Search@ StorageError@ Videoplayer@ GpodnetAuthentication@ GpodnetMain@ GpodnetTag@ ChapterList@ Downloadlist@ ExternalEpisodesList@ InternalFeedItemlist@ MiroGuideChannelList@ MiroGuideItemlist@ Searchlist@ Cover@ Episodes@ ExternalPlayer@ Feedlist@ ItemDescription@ Itemlist@ MiroGuideChannellist@ PodcastList@ PodcastTopList@ MiroGuide@ GpodnetSync@ APRedirect@ Playback@ PlaybackMediaPlayer@ PlaybackTask@ PlayerWidget@ DB@ PodDB@ Feed@ State@ Synd@ Shownotes@ UndoBar@ FlattrCreator@ FeedItemMenu@ FeedMenu@ RESOURCE]
95f5085a91be1a360f758e6e990c10d2a5dc128f,0,0,0,[],[]
332ed1b883aa6a1b76beeca857551e9fc5b01202,0,1,1,[Preference@ Feed@ ItemDescription@ Playback@ RESOURCE],[Playback]
162aa9afcfd629e90b84ecfe4d6287c7c671958a,0,0,0,[Preference@ Feed@ FeedItemMenu@ RESOURCE],[]
1a460979183b26a0474c129d5aa27d0e6b796e1c,0,0,0,[Main@ Mediaplayer@ AllEpisodes@ Itemlist@ Queue@ FeedItemMenu@ FeedMenu@ RESOURCE],[Playback]
2c3f7921d212f3769c8308cf56d51573da541dfc,0,1,1,[Main@ Audioplayer@ NavList@ EpisodesApplyAction@ AllEpisodes@ Downloads@ Episodes@ NewEpisodes@ GpodnetMain@ FeedItemMenu@ Preference@ PlayerWidget@ GpodnetSync@ Playback@ PlaybackMediaPlayer@ DB@ PodDB@ RESOURCE],[RESOURCE]
0ac3706d4fc107034395c190be0bb2365dd822e6,0,0,0,[OnlineFeed@ RESOURCE],[]
0fea81a82366ca23e53263ddcf5986a7f0367fd4,0,1,1,[PlaybackTask@ Main@ DefaultOnlineFeed@ Mediaplayer@ OnlineFeed@ AddFeed@ ItunesSearch@ PodcastList@ GpodnetSync@ Playback@ PlaybackMediaPlayer@ RESOURCE],[About@ RESOURCE]
1ccbdfab497c68bdb92041b6bbb469c75e57fd8f,0,0,0,[Audioplayer@ Mediaplayer@ NavList],[Cover@ ItemDescription]
66d36ec00f4932d17ba10eb0b81ed47c8ea94d49,0,0,0,[RESOURCE],[PlaybackMediaPlayer@ PlaybackTask@ DB@ Main@ Update@ Audioplayer@ FeedInfo@ OnlineFeed@ DownloadLog@ EpisodesApplyAction@ AllEpisodes@ CompletedDownloads@ ItemDescription@ Item@ Itemlist@ NewEpisodes@ PlaybackHistory@ Queue@ RunningDownloads@ FeedItemMenu@ FeedMenu@ PlayerWidget@ GpodnetSync@ Download@ Playback@ PodDB@ UndoBar]
67aca21858cbc407260ce6742bb59ddd8bca5657,0,1,1,[RESOURCE],[Audioplayer@ Main@ Mediaplayer@ Preference@ PreferenceGingerbread@ Videoplayer@ ChapterList@ DBCallbacksImpl@ CompletedDownloads@ Cover@ Downloads@ ItemDescription@ Item@ Itemlist@ NewEpisodes@ PlaybackHistory@ Queue@ Search@ GpodnetMain@ DBCallbacks@ Picasso@ Playback@ PlaybackMediaPlayer@ DB@ RESOURCE]
b5365e2d3453d06a94967a9579ab9c1718238a56,0,0,0,[Audioplayer@ Main@ NavList@ Preference@ Download@ PodDB@ RESOURCE],[Itemlist]
7da9e8876be9ef8dfd1a54c170d62d5dd8de16f1,0,1,2,[Mediaplayer@ OpmlImportFromIntent@ Preference@ Download@ Playback@ RESOURCE],[Playback@ DB@ PodDB@ RESOURCE]
8337739ab44af3c52b30f194fa06c09ba30a2dc2,1,1,4,[About@ AddFeed@ Audioplayer@ DirectoryChooser@ Download@ DownloadLog@ FeedInfo@ FeedItemlist@ FlattrAuth@ Itemview@ Main@ Mediaplayer@ MiroGuideCategory@ MiroGuideChannel@ MiroGuideMain@ MiroGuideSearch@ OnlineFeed@ OpmlFeedChooser@ OpmlImportBase@ OpmlImportFromPath@ OrganizeQueue@ PlaybackHistory@ Preference@ Search@ StorageError@ Videoplayer@ Downloadlist@ ExternalEpisodesList@ Feedlist@ InternalFeedItemlist@ Feed@ Cover@ Episodes@ ExternalPlayer@ ItemDescription@ Itemlist@ MiroGuideChannellist@ Playback@ DB@ PodDB@ Shownotes@ UndoBar@ FeedItemMenu@ FeedMenu@ RESOURCE],[Audioplayer@ Preference@ Playback@ RESOURCE]
fdf3fea58477ef6cbf4f647fbf4667026027d498,0,0,0,[About@ DefaultOnlineFeed@ Videoplayer@ ItemDescription@ PodDB@ UndoBar@ RESOURCE],[]
