mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay, existsCommonPackages, totalCommonPackages
4f8fbf9ed98f646c994d890dc8fd0ffab32e7072,0,0,0,0,0,11.5,6.48,1.5,1.41,1.0,1.0,0,52.0,51.76,21.5,17.49,617.0,35.11,0,0,0
ae849077c78770f096f40e9360250b9e32d14f40,0,0,0,0,0,12.5,4.9,1.5,1.41,8.5,4.0,15,21.5,6.48,108.0,14.66,2714.5,194.82,15,1,1
95f5085a91be1a360f758e6e990c10d2a5dc128f,0,0,0,0,0,1.5,1.41,1.5,1.41,22.0,6.56,42,1.0,1.0,2.0,2.0,2.0,1.73,43,1,1
332ed1b883aa6a1b76beeca857551e9fc5b01202,0,1,1,0,0,4.5,3.74,1.5,1.41,1.5,1.41,1,5.0,3.0,7.5,7.07,80.0,71.94,2,0,0
162aa9afcfd629e90b84ecfe4d6287c7c671958a,0,0,0,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,42.0,21.63,1,0,0
1a460979183b26a0474c129d5aa27d0e6b796e1c,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,8.5,4.0,10.5,4.47,158.0,17.75,0,0,0
2c3f7921d212f3769c8308cf56d51573da541dfc,0,0,0,0,0,16.5,7.87,2.0,1.73,1.0,1.0,0,2.5,2.0,17.5,8.12,75.0,46.3,0,1,2
0ac3706d4fc107034395c190be0bb2365dd822e6,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,1.0,1.0,0,0,0
0fea81a82366ca23e53263ddcf5986a7f0367fd4,0,0,0,0,0,9.5,4.24,2.5,2.0,3.0,2.24,4,3.5,2.45,12.5,6.78,52.5,35.69,5,0,0
1ccbdfab497c68bdb92041b6bbb469c75e57fd8f,0,0,0,0,0,3.0,2.24,1.0,1.0,2.5,2.45,1,1.0,1.0,2.5,2.45,4.5,3.74,1,0,0
