mergeCommitID, isConflicting, countLeftFiles, countRightFiles, arithmeticMeanChangedFiles, geometricMeanChangedFiles
c1c288ffaa4c5cb6df026e3ba35c41085977d487,false,199,2,100.5,19.95
0820db52ffa51531ccd0166660d1a821ae08bba2,false,2,1,1.5,1.41
623a2579bbd7b09a027c9341c81edd0627c64df4,false,18,4,11.0,8.49
ff5e429d89d2ddfd3b7f6d3f1b79fc7e4ecc15ee,false,8,2,5.0,4.0
5a5ec9f749f23f109ec58512571ccd900f505251,false,6,1,3.5,2.45
3a79147b22f6a5574715d5469266fce17e16c0ba,false,33,1,17.0,5.74
e44902cba49edc3d9886b750ad8ba9ec94155588,false,13,1,7.0,3.61
2c371d9082d7e2baff95c10b2800f6ba465de555,false,58,23,40.5,36.52
1ba8ede3731ffbadad23c5c8aae1da430cf76f06,false,50,1,25.5,7.07
5a7aefb5cdfdad87b2a0618520558e32027be902,false,5,18,11.5,9.49
6c6588869c0f9e86bc4ed9f39a8e30f6f4fc57c6,false,11,14,12.5,12.41
57c63b8dba7293d9d0be3bfecb715ed93ad60016,false,43,25,34.0,32.79
2613ce63e945cc453494e810d5718408bab08707,false,23,1,12.0,4.8
ded2d74c71595214e4ee0e63a664c0d4477b91fb,false,8,1,4.5,2.83
179dfa48613919c391037d514a9450838422f735,false,298,27,162.5,89.7
0c2da8c0ef4fafd9ae3ed5a2834b537f6fc3af5f,false,5,1,3.0,2.24
d11458a95a7c0746da49ca8a55c7517a4d770dd8,false,43,2,22.5,9.27
d046f915c7688f09e3c7c231beae480b51405b23,false,24,2,13.0,6.93
4b2e3c18bb8579f2bad18391efca4ab6a91b2db3,false,1,1,1.0,1.0
dcee61799f32506713986f01146f8f596700eca7,false,208,1,104.5,14.42
e845fe150c902f03da0b0d998898118726be3aa9,false,17,5,11.0,9.22
48016e86307a388986689423eedcfb1f63cba640,false,41,7,24.0,16.94
aa7570f472df5786361095cfe94a7b63d7ff3315,true,18,11,14.5,14.07
194319d7a78fea97e03655cf131bea58b348700b,false,143,1,72.0,11.96
3c5cad8beea587b979631ff872b29e7abdb14ddf,false,6,2,4.0,3.46
b3405e4a1b11de2bb6eb97b3bdccfe6eb23bf12e,false,7,12,9.5,9.17
4aaa2b273ff8e54a011b994776a594def8b15428,true,3,17,10.0,7.14
29d91631c2cbf653da25ac63ea6555bed12de69a,false,6,1,3.5,2.45
af04a3de6d2da4961282e63b02309fdc80bfacf9,false,6,1,3.5,2.45
4a7ce0fa67a3e92f09f8818c796154e250e61d83,false,17,5,11.0,9.22
