mergeCommitID, isConflicting, countLeftFiles, countRightFiles, arithmeticMeanChangedFiles, geometricMeanChangedFiles
b183e4f656e21a62aa2395df03a7def1c51f72f8,true,71,17,44.0,34.74
c1bb6d9f9f758cfd91c9b64c7b02d959f181637f,false,5,11,8.0,7.42
f9d9f7ff83be290a7f2d3a8843109f05de62a9fa,true,67,9,38.0,24.56
c3cbe373c1e6e0a9d6dbe69f413e372c67a42085,false,1,2,1.5,1.41
3aff0b01860c9966433f4234e03d53db31774207,false,1,2,1.5,1.41
05ef5d7f4ec93701084f1623e65d7a261fbcbcdf,false,2,1,1.5,1.41
c5550720c32ec6e6977bd9db734fb924464c0eba,false,4,2,3.0,2.83
b39934b6018f89ad082cdb2c551c633e804b185f,false,10,1,5.5,3.16
962912681e51b86205f83007e7e7002ae158ce4c,false,1,23,12.0,4.8
8fa3d3d8ae85aef0d51cdbb1eff27cb219e94f4f,false,6,4,5.0,4.9
9ae127610c18e22716ad4d07471e3955fd11f347,false,4,2,3.0,2.83
b74e57565db36fa8a443b490160d4f84dfb681a4,false,2,1,1.5,1.41
a0ab61ab1763346035b809eb0a740362c5ccd97d,false,11,1,6.0,3.32
856910bb5679c25f60245f7d2b2f424f921c7c3d,false,1,4,2.5,2.0
2ae8bff1748de07d3f066ff2cc58b9cedabb959c,false,62,4,33.0,15.75
a6159abd0695cedc7636377001415236f3b96cb1,false,39,2,20.5,8.83
ad967ccee803fc1f45a856a2bc0bf681a6b534de,false,19,10,14.5,13.78
79c66f94cda215615734956305d743bd40a6c62e,false,1,11,6.0,3.32
0b9515a8d1ea580ba8943ef6fb70ea8c35754eca,false,13,1,7.0,3.61
4dbf2fc2785659cb7931b53a23b2fa2f69409e67,true,69,6,37.5,20.35
c4db889e0bc39c59ffd9b711391baef3aea6e2fd,false,23,1,12.0,4.8
8cb8d088287de36aae39aa4a3a57d457f8430992,false,64,1,32.5,8.0
8140b6946b6b211dee2996f414691b55c6e07feb,false,92,1,46.5,9.59
c24247e1a0131ade0b765a37b920cdf2bb103dd6,false,16,3,9.5,6.93
e6e295b425f7c470d8346185951bba1ead72adfe,false,2,62,32.0,11.14
c236865c0870a7b884daa19e0fad1ff1148ca163,false,2,5,3.5,3.16
1e11c7b535d134ef9c0e6430ffb153361a9ced3f,false,4,3,3.5,3.46
49fc4e19e98a917115808d460d670b501b1e12f1,false,16,3,9.5,6.93
ad6b52f2eebd298e6b611d840cf59591d959f1e3,false,134,3,68.5,20.05
98779b2503fc87b0c3ebc8d22a862762d083acd6,false,6,10,8.0,7.75
