mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay, existsCommonPackages, totalCommonPackages
c623d28723ba1734cac23345ff3cdb3774aa8f51,0,0,0,0,0,5.0,3.0,1.0,1.0,12.0,4.8,22,23.0,6.71,8.5,6.48,402.0,56.57,23,0,0
a87605661bc78363ad7581cab6655e304bd0a33e,0,0,0,0,0,6.0,5.92,1.0,1.0,1.5,1.41,1,13.5,13.49,8.5,7.21,370.5,71.68,2,0,0
68b60a02863be9a525f9d6d3b2ad8b9464b9636a,1,1,5,3,6,36.0,32.25,2.0,1.73,3.0,2.24,4,157.5,151.66,192.0,92.95,5776.0,2414.78,5,1,70
c667305f259da957657ede8ff7a3d6d82b332c93,0,0,0,0,0,19.0,6.08,3.0,2.24,1.0,1.0,0,25.5,7.07,11.5,8.72,261.5,84.42,0,0,0
f4c762026d9737967fc0aca181b51d2124e81acf,0,0,0,0,0,4.5,4.24,1.5,1.41,1.0,1.0,0,98.0,13.96,6.5,3.46,59.5,23.87,0,0,0
76720094c1624087ca7811891d8125d17b57d447,0,0,0,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,9.0,4.12,23.5,13.11,73.5,12.08,0,0,0
29973a74ddeaa0a5f28d1677c9541909be48b812,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,3.5,2.45,3.5,2.45,4.0,2.65,3,1,1
efb3cf51411bd470daaff7aa2db1f26b254af236,0,0,0,0,0,1.5,1.41,1.0,1.0,2.5,2.0,3,1.0,1.0,5.5,4.24,126.0,125.1,4,0,0
edecf946b268d94590e05cd3325a50b1a39f06b2,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,4.47,1,1.0,1.0,4.0,3.46,1.5,1.41,1,0,0
7aedeae7baf697fddd54372b22f65b22d694dd58,1,1,4,4,7,7.5,7.07,1.0,1.0,1.0,1.0,0,78.0,77.69,26.0,25.51,651.0,316.29,0,1,15
159d977187c5fd14660a7e9b6f9808d2330a7445,0,0,0,0,0,5.0,3.0,2.0,1.73,1.0,1.0,0,9.5,4.24,24.0,6.86,74.0,17.09,1,0,0
aa49668008a75a595287943fe4b3529848108b27,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
e02e55d041db4e3f7a4c82780bd68fc7a712730f,0,0,0,0,0,5.5,3.16,2.0,1.73,1.0,1.0,0,39.5,8.83,16.0,5.57,592.0,34.39,0,0,0
5b23b29111037edd83f14c1935106f80617e8c94,0,1,1,0,0,4.5,4.24,1.0,1.0,3.5,2.45,5,10.0,9.54,6.0,5.92,32.0,26.46,6,1,2
c42e5b80bd6579ddcb88bdbf002ddc703b18736c,1,0,0,1,1,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,3.5,3.16,0,0,0
fafcc015e0cc23886bf59e6d83a12ea08130d2c2,1,1,4,5,10,60.5,10.95,2.0,1.73,1.5,1.41,1,158.5,17.78,213.5,61.34,18035.0,189.92,2,1,33
0393447bf3e9eaeb96fc7f2233e640ddf42b0280,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,2.5,2.45,15.0,10.2,2,0,0
7a02014e1b445c1eb0a997ba9708b56eecd2abf1,1,1,1,1,1,6.0,4.47,1.5,1.41,12.0,4.8,22,56.5,48.79,16.5,10.77,223988.5,1496.62,23,1,1
