mergeCommitID, isConflicting, leftDate, rightDate, contributionConclusionDelay
c623d28723ba1734cac23345ff3cdb3774aa8f51,false,2012-07-24,2012-07-01,23
a87605661bc78363ad7581cab6655e304bd0a33e,false,2013-08-19,2013-08-17,2
68b60a02863be9a525f9d6d3b2ad8b9464b9636a,true,2018-02-22,2018-02-27,5
c667305f259da957657ede8ff7a3d6d82b332c93,false,2017-02-22,2017-02-22,0
f4c762026d9737967fc0aca181b51d2124e81acf,false,2018-02-22,2018-02-22,0
76720094c1624087ca7811891d8125d17b57d447,false,2013-10-20,2013-10-20,0
29973a74ddeaa0a5f28d1677c9541909be48b812,false,2013-11-30,2013-12-03,3
efb3cf51411bd470daaff7aa2db1f26b254af236,false,2012-10-26,2012-10-22,4
edecf946b268d94590e05cd3325a50b1a39f06b2,false,2017-08-21,2017-08-20,1
7aedeae7baf697fddd54372b22f65b22d694dd58,true,2012-10-07,2012-10-07,0
159d977187c5fd14660a7e9b6f9808d2330a7445,false,2013-10-21,2013-10-22,1
aa49668008a75a595287943fe4b3529848108b27,false,2017-03-26,2017-03-26,0
e02e55d041db4e3f7a4c82780bd68fc7a712730f,false,2013-01-27,2013-01-27,0
5b23b29111037edd83f14c1935106f80617e8c94,false,2012-06-22,2012-06-16,6
c42e5b80bd6579ddcb88bdbf002ddc703b18736c,true,2017-01-04,2017-01-04,0
fafcc015e0cc23886bf59e6d83a12ea08130d2c2,true,2012-07-30,2012-08-01,2
0393447bf3e9eaeb96fc7f2233e640ddf42b0280,false,2014-02-20,2014-02-22,2
7a02014e1b445c1eb0a997ba9708b56eecd2abf1,true,2014-04-22,2014-03-30,23
f418aa3e3ee76577fdfe5ea01dacc6290200659f,false,2015-04-13,2015-04-13,0
4cbfb0bb484faabb1e849e901db6b2a416135be5,true,2015-11-13,2015-11-12,1
e4575f59cb88a53d32ca5d481703574d9992480c,false,2015-03-18,2015-03-06,12
544ecd1c497099eb67da403e027af221241708b7,true,2017-01-04,2017-01-04,0
3a91b49cda4c15c835a0e4e8e06febe266712c37,true,2012-07-24,2012-07-24,0
0a8259d5a8b4387f06765f88cda64296539734e9,false,2017-01-13,2017-01-06,7
04f95ce7f2bc1d58ab149854a8a3c633956cb0dd,false,2012-08-07,2012-08-07,0
8c876225b42c9233930c4b82ba1a06af644966c0,false,2018-04-29,2018-04-09,20
e300c1383eb06892034d7e5cf0206e1993ff1bdf,false,2018-02-10,2018-01-15,26
332eee0736b36ff1dd37358c41db26c8f4e3a188,false,2017-12-09,2018-01-15,37
69ca9ec3af3c34ccbf36828731c68571ab22065f,false,2012-10-07,2012-09-14,23
40da3e5dec6fcb2758d12c9f242b3b57f49f88a2,true,2017-03-19,2017-03-01,18
