mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay, existsCommonPackages, totalCommonPackages
c4699df82ab2be6cdbddb341ba92b3b0a2830987,0,1,1,0,0,2.0,1.73,1.0,1.0,2.0,1.73,2,1.0,1.0,24.0,17.89,584.0,165.7,3,1,2
3ca3a6d699471bdf0337b0965b7c9907411a5206,0,0,0,0,0,3.0,2.24,1.0,1.0,52.0,10.15,102,14.5,5.29,5.0,3.0,15.5,5.48,103,0,0
ef21bf973cd4139dd392f36c338bdb066d0be61e,0,0,0,0,0,4.0,4.0,1.5,1.41,1.0,1.0,0,26.5,7.21,6.5,6.32,76.0,43.95,1,0,0
b2bde89834efa023c57e9f7f5bfe114d28af8285,1,1,1,1,5,13.0,5.0,2.0,1.73,13.5,7.07,23,2.0,1.73,42.5,26.15,737.0,594.93,23,1,21
cf03ad3edbf2fa9ab1dbe3b0e62745ab0f46ada0,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,1.0,1.0,3.5,2.45,35.0,32.5,2,1,5
be11306a45534e301d9b5988ca3e384ec0d09c4b,0,0,0,0,0,2.5,2.45,1.5,1.41,27.5,7.35,53,2.0,1.73,31.5,18.49,177.5,66.68,54,0,0
ce1ffb83cf8b2902f0207aa0e8fbb4a09eeb8ff5,0,0,0,0,0,4.0,2.65,1.0,1.0,1.5,1.41,1,33.0,8.06,7.0,3.61,427.5,41.3,2,1,1
69fd955360ffab978ceb8c72cffddda3b79c081f,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,23.0,20.2,0,0,0
abc3631b1604f66dfb92c04577188070c91e0d4a,0,0,0,0,0,12.0,4.8,2.0,1.73,1.0,1.0,0,135.5,16.43,18.5,8.37,1431.0,130.9,0,1,4
1b114b6bae9854b71427e2a95843a75d7eea68e0,0,1,2,0,0,11.0,6.32,2.0,1.73,4.0,2.65,6,6.5,3.46,23.0,11.36,203.5,131.27,7,1,6
8f6af2be5512442ae49e6f0f5154a7a419b48fce,0,0,0,0,0,4.0,2.65,1.0,1.0,1.5,1.41,1,1.0,1.0,17.5,5.83,79.0,27.66,2,0,0
695394fe7190a8310adfb05a401e29f6dd76c2f5,0,1,1,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,7.0,6.32,95.5,23.75,0,1,1
fb1e19e510125cfe4251ff06df7a05eaad25093b,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,5.0,3.0,0,1,1
501d3d31767d3b80e9a01afea0cac6db75e0276a,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,7.5,5.1,147.0,38.01,0,0,0
32d89db8c6331ec14083db72d02d2c676ac18974,1,0,0,1,1,4.0,3.87,1.0,1.0,1.0,1.0,0,2.0,2.0,10.0,9.95,522.5,207.57,1,1,4
3311043e80b8c66a3b0673edbd6bbd5cb930bc52,0,0,0,0,0,3.5,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,23.0,14.32,108.0,100.32,0,1,3
7904db43ea45e42c9296c95bcc709f27d7ea285b,1,0,0,1,1,5.0,4.9,2.5,2.45,3.5,3.16,3,2.5,2.0,5.0,5.0,109.5,109.24,3,1,3
5a6aecad8578d218876d5b55ecf71f5c5baf7a3d,0,0,0,0,0,1.5,1.41,1.5,1.41,3.0,3.0,0,1.5,1.41,1.5,1.41,3.0,2.24,0,1,1
4c9012557e1831d26388165263840276a5f9ac5e,0,0,0,0,0,2.0,1.73,1.5,1.41,2.5,2.0,3,1.0,1.0,8.5,4.0,64.0,63.21,3,0,0
cbaa8676fc6c8137a80b26c5b7dc277d89b74b36,0,0,0,0,0,3.0,3.0,2.0,1.73,1.0,1.0,0,1.0,1.0,11.5,10.1,188.5,71.29,1,0,0
36ff25a95c6b5f2717814a6bedd41c88e42b3e0a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,15.0,11.18,1,0,0
dd9b1fc6135bf233f8082d7bb20483d3195ae435,0,0,0,0,0,3.5,2.45,1.5,1.41,2.5,2.0,3,3.0,2.24,7.5,5.1,10.5,4.47,4,0,0
8bececfa58358558925ac4bf7bbeda5d83b8a496,0,0,0,0,0,7.0,4.9,1.0,1.0,1.0,1.0,0,43.0,9.22,23.5,23.24,12501.5,2265.56,0,0,0
153a6bdbe7b9ae62839ec162e72d0210b37b5a50,0,0,0,0,0,4.0,3.87,1.5,1.41,1.0,1.0,0,1.0,1.0,6.5,3.46,77.0,32.08,0,1,1
5b182ef38dde4222e6a9f9c88cf28f76243e37f5,0,0,0,0,0,1.5,1.41,1.5,1.41,3.0,3.0,0,1.5,1.41,2.5,2.0,6.0,3.32,0,1,1
1c01024733b5bcfaf29694e05b2e315626793595,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,3.5,2.45,1.0,1.0,4.5,2.83,0,0,0
da8c0e0e16ff35a88015bfbeb5869e1b0f89156c,0,0,0,0,0,5.0,4.58,1.5,1.41,1.5,1.41,1,1.0,1.0,4.5,2.83,15.0,5.39,2,0,0
6284811fec705984058c19ccb31a7841fb251775,0,0,0,0,0,4.5,4.24,2.0,1.73,1.0,1.0,0,6.0,3.32,6.0,5.92,114.5,108.19,1,0,0
d24f1034f4bbd4e02c21669e12a430795081a29c,0,0,0,0,0,4.0,3.87,1.5,1.41,1.0,1.0,0,2.5,2.0,12.5,10.0,16.5,5.66,0,0,0
e895d1f0d3d6b333eeaa3e82e58392b58d647c33,0,0,0,0,0,21.0,6.4,3.5,2.45,1.5,1.41,1,16.5,5.66,20.0,6.24,658.0,51.26,2,0,0
