mergeCommitID, isConflicting, leftDate, rightDate, contributionConclusionDelay
c4699df82ab2be6cdbddb341ba92b3b0a2830987,false,2015-10-06,2015-10-03,3
3ca3a6d699471bdf0337b0965b7c9907411a5206,false,2017-02-27,2016-11-16,103
ef21bf973cd4139dd392f36c338bdb066d0be61e,false,2016-08-12,2016-08-11,1
b2bde89834efa023c57e9f7f5bfe114d28af8285,true,2015-08-01,2015-07-09,23
cf03ad3edbf2fa9ab1dbe3b0e62745ab0f46ada0,false,2014-10-03,2014-10-01,2
be11306a45534e301d9b5988ca3e384ec0d09c4b,false,2018-03-23,2018-01-28,54
ce1ffb83cf8b2902f0207aa0e8fbb4a09eeb8ff5,false,2014-12-14,2014-12-12,2
69fd955360ffab978ceb8c72cffddda3b79c081f,false,2014-09-10,2014-09-10,0
abc3631b1604f66dfb92c04577188070c91e0d4a,false,2014-01-07,2014-01-07,0
1b114b6bae9854b71427e2a95843a75d7eea68e0,false,2015-04-28,2015-04-21,7
8f6af2be5512442ae49e6f0f5154a7a419b48fce,false,2015-09-30,2015-09-28,2
695394fe7190a8310adfb05a401e29f6dd76c2f5,false,2017-09-27,2017-09-27,0
fb1e19e510125cfe4251ff06df7a05eaad25093b,false,2014-04-28,2014-04-28,0
501d3d31767d3b80e9a01afea0cac6db75e0276a,false,2015-10-29,2015-10-29,0
32d89db8c6331ec14083db72d02d2c676ac18974,true,2013-04-11,2013-04-10,1
3311043e80b8c66a3b0673edbd6bbd5cb930bc52,false,2015-10-21,2015-10-21,0
7904db43ea45e42c9296c95bcc709f27d7ea285b,true,2013-05-01,2013-04-28,3
5a6aecad8578d218876d5b55ecf71f5c5baf7a3d,false,2016-08-17,2016-08-17,0
4c9012557e1831d26388165263840276a5f9ac5e,false,2016-03-10,2016-03-07,3
cbaa8676fc6c8137a80b26c5b7dc277d89b74b36,false,2015-08-27,2015-08-26,1
36ff25a95c6b5f2717814a6bedd41c88e42b3e0a,false,2013-07-23,2013-07-22,1
dd9b1fc6135bf233f8082d7bb20483d3195ae435,false,2016-07-25,2016-07-21,4
8bececfa58358558925ac4bf7bbeda5d83b8a496,false,2017-09-27,2017-09-27,0
153a6bdbe7b9ae62839ec162e72d0210b37b5a50,false,2016-02-25,2016-02-25,0
5b182ef38dde4222e6a9f9c88cf28f76243e37f5,false,2017-06-05,2017-06-05,0
1c01024733b5bcfaf29694e05b2e315626793595,false,2013-04-16,2013-04-16,0
da8c0e0e16ff35a88015bfbeb5869e1b0f89156c,false,2016-03-07,2016-03-05,2
6284811fec705984058c19ccb31a7841fb251775,false,2014-03-17,2014-03-16,1
d24f1034f4bbd4e02c21669e12a430795081a29c,false,2016-07-31,2016-07-31,0
e895d1f0d3d6b333eeaa3e82e58392b58d647c33,false,2015-08-10,2015-08-08,2
