mergeCommitID, isConflicting, leftLifetime, rightLifetime, arithmeticMeanLifetime, geometricMeanLifetime, deltaLifetime
c4699df82ab2be6cdbddb341ba92b3b0a2830987,false,0,1,0.5,0.0,1
3ca3a6d699471bdf0337b0965b7c9907411a5206,false,1,0,0.5,0.0,1
ef21bf973cd4139dd392f36c338bdb066d0be61e,false,1,0,0.5,0.0,1
b2bde89834efa023c57e9f7f5bfe114d28af8285,true,5,1,3.0,2.24,4
cf03ad3edbf2fa9ab1dbe3b0e62745ab0f46ada0,false,0,1,0.5,0.0,1
be11306a45534e301d9b5988ca3e384ec0d09c4b,false,2,0,1.0,0.0,2
ce1ffb83cf8b2902f0207aa0e8fbb4a09eeb8ff5,false,1,1,1.0,1.0,0
69fd955360ffab978ceb8c72cffddda3b79c081f,false,0,1,0.5,0.0,1
abc3631b1604f66dfb92c04577188070c91e0d4a,false,34,1,17.5,5.83,33
1b114b6bae9854b71427e2a95843a75d7eea68e0,false,7,0,3.5,0.0,7
8f6af2be5512442ae49e6f0f5154a7a419b48fce,false,1,0,0.5,0.0,1
695394fe7190a8310adfb05a401e29f6dd76c2f5,false,0,0,0.0,0.0,0
fb1e19e510125cfe4251ff06df7a05eaad25093b,false,1,1,1.0,1.0,0
501d3d31767d3b80e9a01afea0cac6db75e0276a,false,0,1,0.5,0.0,1
32d89db8c6331ec14083db72d02d2c676ac18974,true,2,2,2.0,2.0,0
3311043e80b8c66a3b0673edbd6bbd5cb930bc52,false,0,0,0.0,0.0,0
7904db43ea45e42c9296c95bcc709f27d7ea285b,true,4,0,2.0,0.0,4
5a6aecad8578d218876d5b55ecf71f5c5baf7a3d,false,0,1,0.5,0.0,1
4c9012557e1831d26388165263840276a5f9ac5e,false,0,1,0.5,0.0,1
cbaa8676fc6c8137a80b26c5b7dc277d89b74b36,false,0,0,0.0,0.0,0
36ff25a95c6b5f2717814a6bedd41c88e42b3e0a,false,1,1,1.0,1.0,0
dd9b1fc6135bf233f8082d7bb20483d3195ae435,false,4,1,2.5,2.0,3
8bececfa58358558925ac4bf7bbeda5d83b8a496,false,0,0,0.0,0.0,0
153a6bdbe7b9ae62839ec162e72d0210b37b5a50,false,1,0,0.5,0.0,1
5b182ef38dde4222e6a9f9c88cf28f76243e37f5,false,2,1,1.5,1.41,1
1c01024733b5bcfaf29694e05b2e315626793595,false,6,1,3.5,2.45,5
da8c0e0e16ff35a88015bfbeb5869e1b0f89156c,false,0,0,0.0,0.0,0
6284811fec705984058c19ccb31a7841fb251775,false,0,0,0.0,0.0,0
d24f1034f4bbd4e02c21669e12a430795081a29c,false,3,0,1.5,0.0,3
e895d1f0d3d6b333eeaa3e82e58392b58d647c33,false,14,1,7.5,3.74,13
