mergeCommitID, isConflicting, leftDate, rightDate, contributionConclusionDelay
e2fac962f341b136b611de7f5e99e51bcdc1704d,false,2016-04-06,2016-04-06,0
e88312659b305875cc9a4338854fd4877db91afa,false,2018-02-11,2018-02-10,1
d3332583b6097dff866170f1067a836a90587b70,false,2017-11-10,2017-11-10,0
1a2b18f722f9e61deef46dd480b1fccbe71b6902,false,2017-07-10,2017-07-10,0
488d1ccd5a2c1b8d19cdf84ba2b70543f4252a61,true,2017-05-29,2017-05-30,1
5537abe2c33f002e0edb56b3b45b4cf087dc0a05,false,2018-02-05,2018-02-04,1
124461f587e802ac8a696b0bd3f0e2592beec9cb,false,2017-10-04,2017-10-04,0
1fb1b3a7843ee1d9d74959878273415e4a88d18f,false,2017-11-12,2017-11-12,0
621a1909ec5b4ebd44b993ae21d5d5997331249f,true,2017-09-16,2017-11-10,55
7575e8fbe3282931ba8ab1471c4d849702230efc,false,2016-02-27,2016-02-29,2
b20ae4528053aa34baae5587bfaa9a4e500e3289,false,2015-09-20,2015-09-20,0
cca72a9e4e586efb43e2114abfae8af029759518,false,2016-03-25,2016-03-25,0
0c1d77313457623807011742166a0c0b71c65a6a,false,2017-07-05,2017-07-09,4
3a9f30d954b1b691f609eee852adb60471a9a52c,false,2017-11-08,2017-11-06,2
07836c7ffab63b7abb0bb7088b1a2d87ee302b33,false,2017-08-15,2017-08-15,0
2d51085ccf4c69c7787e0df09716f96ac9594a28,false,2015-11-13,2015-11-13,0
736d9fe450ffcff791a18e3d7a9650bee711b02a,false,2017-10-26,2017-10-20,6
ba56aec353e3b242c81ab1631e46da42432028ba,false,2017-10-23,2017-10-22,1
604bc5b4c1a054d7d83d52cfd688568b1380dddb,false,2018-04-06,2018-04-04,2
c5885d9ce4ee481e75113d4500bed3ef5c236594,false,2017-09-11,2017-09-11,0
7d6b92e06492b3fcbb6e2f4278faba71aa0b09cd,false,2017-01-22,2017-01-19,3
9e95ca10b282822c43667a9b4c09da134588bd69,false,2016-03-11,2016-03-11,0
9a5e82cb1e2acfc086abd73b5c23ee4bf51077bf,false,2016-06-16,2016-06-16,0
9427ebd4898756484ac2a86e9eb0adb489d92954,false,2016-02-23,2016-02-23,0
8fd7599158ba11ede01bffc50f06e365091ab1a2,false,2016-03-07,2016-03-07,0
ff38ae202bfa8bdd05725cd4246f719f8377e3df,false,2017-10-31,2017-11-01,1
82d214faa6ad0e733c1f8c9826b9eb8ff238ee7d,false,2016-03-10,2016-03-11,1
4cdc387338eb7eda96c2e34c2345fee536ea8073,false,2016-02-05,2016-02-05,0
c4d0ba549fe22c9dd140fef14a4c5063f8ab1f7a,false,2018-02-10,2018-02-08,2
76c59cbdeaefa989de4a95ad29332919aacbc709,false,2018-02-19,2018-02-19,0
