mergeCommitID, isConflicting, leftLifetime, rightLifetime, arithmeticMeanLifetime, geometricMeanLifetime, deltaLifetime
e2fac962f341b136b611de7f5e99e51bcdc1704d,false,1,1,1.0,1.0,0
e88312659b305875cc9a4338854fd4877db91afa,false,4,26,15.0,10.2,22
d3332583b6097dff866170f1067a836a90587b70,false,1,1,1.0,1.0,0
1a2b18f722f9e61deef46dd480b1fccbe71b6902,false,1,15,8.0,3.87,14
488d1ccd5a2c1b8d19cdf84ba2b70543f4252a61,true,6,1,3.5,2.45,5
5537abe2c33f002e0edb56b3b45b4cf087dc0a05,false,1,7,4.0,2.65,6
124461f587e802ac8a696b0bd3f0e2592beec9cb,false,1,6,3.5,2.45,5
1fb1b3a7843ee1d9d74959878273415e4a88d18f,false,1,1,1.0,1.0,0
621a1909ec5b4ebd44b993ae21d5d5997331249f,true,5,62,33.5,17.61,57
7575e8fbe3282931ba8ab1471c4d849702230efc,false,2,1,1.5,1.41,1
b20ae4528053aa34baae5587bfaa9a4e500e3289,false,2,1,1.5,1.41,1
cca72a9e4e586efb43e2114abfae8af029759518,false,1,1,1.0,1.0,0
0c1d77313457623807011742166a0c0b71c65a6a,false,20,14,17.0,16.73,6
3a9f30d954b1b691f609eee852adb60471a9a52c,false,2,1,1.5,1.41,1
07836c7ffab63b7abb0bb7088b1a2d87ee302b33,false,1,1,1.0,1.0,0
2d51085ccf4c69c7787e0df09716f96ac9594a28,false,1,1,1.0,1.0,0
736d9fe450ffcff791a18e3d7a9650bee711b02a,false,45,28,36.5,35.5,17
ba56aec353e3b242c81ab1631e46da42432028ba,false,1,29,15.0,5.39,28
604bc5b4c1a054d7d83d52cfd688568b1380dddb,false,3,1,2.0,1.73,2
c5885d9ce4ee481e75113d4500bed3ef5c236594,false,1,1,1.0,1.0,0
7d6b92e06492b3fcbb6e2f4278faba71aa0b09cd,false,24,8,16.0,13.86,16
9e95ca10b282822c43667a9b4c09da134588bd69,false,1,1,1.0,1.0,0
9a5e82cb1e2acfc086abd73b5c23ee4bf51077bf,false,1,21,11.0,4.58,20
9427ebd4898756484ac2a86e9eb0adb489d92954,false,1,1,1.0,1.0,0
8fd7599158ba11ede01bffc50f06e365091ab1a2,false,1,1,1.0,1.0,0
ff38ae202bfa8bdd05725cd4246f719f8377e3df,false,1,1,1.0,1.0,0
82d214faa6ad0e733c1f8c9826b9eb8ff238ee7d,false,1,1,1.0,1.0,0
4cdc387338eb7eda96c2e34c2345fee536ea8073,false,1,1,1.0,1.0,0
c4d0ba549fe22c9dd140fef14a4c5063f8ab1f7a,false,2,1,1.5,1.41,1
76c59cbdeaefa989de4a95ad29332919aacbc709,false,2,3,2.5,2.45,1
