MergeCommitID, isMergeConflicting, left, right, ancestor, countLeftCommits, countRightCommits, sumMergeCommits, arithmeticMeanMergeCommits, geometricMeanMergeCommits, listLeftCommits,listRightCommits
c623d28723ba1734cac23345ff3cdb3774aa8f51,false,61bb0ceb9cba3bbe115128a85e9f7a15757025af,4e472783b207254d117d2c3bca29b11a26803f47,af0afa72d2df6967d6eaa64c338eb8c6f70aecce,9,1,10,5.0,3.0,61bb0ceb9cba3bbe115128a85e9f7a15757025af@@c17b63a9a4bed642f373d717bfb695ff8f72b06e@@cbcf97252f76c0e47663566d77f688430ce1b344@@d7064fd5891680592e27257539ef7542c0dac352@@33dbfca39f3dd85b59a4b2087b08751e53279720@@5b23b29111037edd83f14c1935106f80617e8c94@@953d0958f4cf691db08a985c9aa66f737e7e984b@@7d4e6e26e0bd03b1e1ec3cfe403f45dec859c2d8@@8700eaec02314c3f8ab0471bd5f5a39e8c3820b0@@,4e472783b207254d117d2c3bca29b11a26803f47@@
a87605661bc78363ad7581cab6655e304bd0a33e,false,0bcd41b2ef03883635ebcf5b750084baa7f15b03,73894752f2b0a8076e279c7915be9eea54763ddc,7486e130f8f7b99332b7a2a59e4acd78b7a61c8a,7,5,12,6.0,5.92,0bcd41b2ef03883635ebcf5b750084baa7f15b03@@b810a6e91e32fd668c07308bb5c349a86ccf1279@@16e8a5fdbe2344c4091c031d6c8791cdcd495724@@a83271c3a9a290ed8b26de9ed50149fe054e3365@@b6c2beb3486c3230bd20fed620c37d498f1662f3@@3b938c3a0a97f88578850466c68c0e3367b2e690@@98f6cd0f97f88793620915c839fbe66bc4082189@@,73894752f2b0a8076e279c7915be9eea54763ddc@@32a3d9c96435bab149ca36df1a707c81e83d6ede@@5bff7c79d2df30e6921fabfaeb2e6600ae6e2849@@dd6431cb1b91e34209a87239eb5276f6cb3722b4@@fcabb356ced5da5bc5b576070ec41eb98deb1151@@
68b60a02863be9a525f9d6d3b2ad8b9464b9636a,true,752a3b64f0080ad17327c17f7ec10fdaa681314a,ec733e5b97ed723247cb0a76245cde11714c9f45,421a03980ad3d7f6940549fc831e992a716784c1,52,20,72,36.0,32.25,752a3b64f0080ad17327c17f7ec10fdaa681314a@@23faa6d19c2cd42fd2d48bba00ed7b30356ef116@@332eee0736b36ff1dd37358c41db26c8f4e3a188@@b87617e7eb35b4c9b6201220049a2127ca5673c7@@1be47b2e0e12e8fefe10df45353be6ff66cfd162@@5b6301998e636929ed9652df86deab778aba1ed5@@14f83283fba9362fa472df2b99cd675b4587a6f2@@bca34db5085b68a4208b7b6ec0341039c6874ca1@@7e2494196c4d049c885966b9f85bc5a9b5f4b032@@a54798443a71af5261c6a2d48fefeab7bdc49d9a@@413bf66c6876a8131b9a6af8b524c606f74fc182@@827260c90f84a3e5907d73131c3d91e80adbcd66@@b24e348c519c8278fbb91caef31face0230786ba@@cbdb53c813562aac12603666180f6866d10103d8@@92793c73cf1dafeb78c4fa5423982fb8235774d0@@d81ed7a6b579f209c399c75bab53ca8282eb813b@@df81e96a087339404adbb4fe22f9c69b6cab22fa@@f1867667aad678fb630930f56b73fa010e18609c@@af052408b121d47284e6ff12814ec09abc440b61@@a4d1e8b463d0706f583f8258423d6e64f33e95ec@@e93810876c8365587fc3d55a96068cf28d80adcf@@aea3571ca595366e7421731583475fa41646af9b@@81c0c1a7ff998a45ca5e466b141209901e60ea45@@5b2b787f90cf2f983d45d379c77514a483c0cb90@@1d0bdf1e4ebabbf96579403f6ea972777b234f88@@4cdc08b360dbedb91b5754427d0c76be47b3038f@@0f90281e0fa1f11b74d7cb68557175230c407232@@f06e0d714add673ffcb470cc054c5ee9303375ec@@bccab0421a73c2a9a264810456f589a91033bd13@@cef4000391820c033f6d54ee6930d1e02ad34cf6@@13a8e351bd737b896634931aabfb5404aa62393f@@e3ca04cde7aa07210279fd1ea1c280628b2548ac@@6394353fa0a8dd43d2cbc684dd27ccb22f149eed@@3598624a8e6fa01583720ec676e1f599ac80eb9c@@b57f847b0911f5664139b59d9bfa3fa92a766134@@f161926a7579c9b469c397608cf9be3738375098@@763c964b177f7dfa103ab7c7194279a5ada14143@@7122907cc05d5c1bf1e46da688f80715a2dbf8c6@@f9c3bc6bf6cee930f32ef0fa1dc1573bd45304a7@@f78862e7786d03fbe09f33ac1592afbaa01b66a7@@effc7b6446b4a42315579af5cc1f9a535a1beeb7@@5b28c58523df145beaf843e95e2945ba4700cf88@@164990ec6b8722a8c5fed92a7a44639e137f9f3a@@a017fbcf67152941736627f57ae702d2ebe91a83@@e4be5d35a8e57ec6507a946c18d7a787e5a031c9@@e87ea318ecfe27f10aa0d09ad2014672aaf7589e@@3a8ad1395fd2844a2b2a6569469c3570ea8412d2@@335c853acd9988308f38a7c2b763484a87ce7476@@6787a0ac4b6bfe3759283ef70880a8719fe22891@@a4694be347149ee79c54bb71116503dc503b2d5e@@a8b24abb396ff4dafc96d83a07c54a64969bdf2c@@6cfe381b84bb77defa64f63693f2b91502c4cf78@@,ec733e5b97ed723247cb0a76245cde11714c9f45@@7d2134205c73e0304aa294300bab1a81b49f7011@@f4c762026d9737967fc0aca181b51d2124e81acf@@3708c4886e4e588ba01ae1c7d2a04188d21d1346@@da59c7143d5aac5aedbd35e3156ac471361d69b3@@2ade99eed085ac02a176314f66328f3c05b14070@@4fb476a94ed02b39d7dba0507c0f6eb3ac911278@@153ea0a660d85ca47ca6d9aceb1bd229732cb6f0@@27a2a87949b3bb3d47118ff44b62c396c6ce1734@@b77c1b3f9435f8e9887c9917fbdd7d6c5702d2a1@@5b8e3a7ae46f96f99dd96a7f9509fe1b824a3e11@@8a0af4038a1b54cd8ca407d0f679b4c5303429a7@@98bf2d0381765c5919582837dba45f216202694c@@e300c1383eb06892034d7e5cf0206e1993ff1bdf@@193048cb8fde03be2f6529f7f52e167155635fed@@8f8bcf8a6c097c073e7cc180b64948febce5067f@@a5e10aaf0b940bde55a2084bf5dd6001373bada2@@ff61d64c83e22392305ba5021ed7fe1e97ec69d7@@195b8eb5f97d092e14427185d8c5fd2c5babc492@@f9ea913bba668b8236f2b2f756f67475f83888a7@@
c667305f259da957657ede8ff7a3d6d82b332c93,false,8c0dd7cb6cbc68b872ae9698579d36d904588ea0,efcf683adf780d0c0e4950cb1a30ca8421c88bf2,dde191b6da0b28770d54219d4045ea3142b36a7a,1,37,38,19.0,6.08,8c0dd7cb6cbc68b872ae9698579d36d904588ea0@@,efcf683adf780d0c0e4950cb1a30ca8421c88bf2@@4eff7a97c9cf3eb7dbb90926a6ac7adbb9e576a7@@afaf284a592ed9154527569b3325a8d1736ffd73@@7c61ad5f815555a4943f72b18978ea96dcbe47d9@@7afe881ead1ba5a566efe638b602902b9252b62f@@0a8259d5a8b4387f06765f88cda64296539734e9@@a60e2ab4c5110774d5396820025ecd57bf234efc@@ffd37a709ba4865ede1a160574cfcce311b7e571@@410f796c31350034535bc0bce51f248884337fb9@@4b58722b0562a80cd112db01cf9b998a3d0713c5@@2b6ce058b6b75bb4d16f269faa43f9c5849335d7@@6c9fcd5b4656a0ca7032925bb69eb67b867de36f@@998c56d8ab3e810ef7ed20a25bb868642df386c4@@a119fde366a298007de9978bd4a3abfabdfbc783@@544ecd1c497099eb67da403e027af221241708b7@@a186715eabad7f2a11374960cffefd325cb4be0b@@7ea485f8ca8ad2fcf1d2fcce95277600effa6ced@@988e94f62fe2639d107dff70e3cf55f2ada0b181@@7936a223f504b8b896771b97feb3cb207615a9c3@@f61ba8bd069f33406eed0569f0833c2f749b1694@@c42e5b80bd6579ddcb88bdbf002ddc703b18736c@@5283b04615f5e61b48fdb783886c28df4bf78122@@e2b8ac73e8484c17788502907a9480ef399f5dc2@@1905e39e43b34f48c532e67672b89d06c80a7f87@@8fdd8a3cbf222f9e0037ab1b68cc6411652334ef@@5be73b8b00c490596a071fc9bcad7391a61e2a2b@@5ac4b9ed5fa21ade6b8517371b3fd5fccc2926ab@@c27567c479579e4c7e912fe9fdb0b309ed43cd3b@@66898885fa8fecc973de7c9b51fcf298d66307a0@@1b69561667f18b22df141660f785d769d7bc0a36@@8627d3f87059a06bdc642866747da3dbe0a55d14@@f5caea903a047c16b264fc975f33af4c1f20d9d6@@ee24226c8efe14f9a1222af975b2849da5ecc3fa@@b66a4b336079f5b719318285923ab367dc68f976@@fd9bad2ca5eaff50929b7b25b62b3a83961fe102@@3e6921d101f69828077cf30398f600e016d9249c@@0907b0978d58179b92e5b55706cb848c26e86342@@
f4c762026d9737967fc0aca181b51d2124e81acf,false,3708c4886e4e588ba01ae1c7d2a04188d21d1346,4fb476a94ed02b39d7dba0507c0f6eb3ac911278,153ea0a660d85ca47ca6d9aceb1bd229732cb6f0,3,6,9,4.5,4.24,3708c4886e4e588ba01ae1c7d2a04188d21d1346@@da59c7143d5aac5aedbd35e3156ac471361d69b3@@2ade99eed085ac02a176314f66328f3c05b14070@@,4fb476a94ed02b39d7dba0507c0f6eb3ac911278@@8f8bcf8a6c097c073e7cc180b64948febce5067f@@a5e10aaf0b940bde55a2084bf5dd6001373bada2@@ff61d64c83e22392305ba5021ed7fe1e97ec69d7@@195b8eb5f97d092e14427185d8c5fd2c5babc492@@f9ea913bba668b8236f2b2f756f67475f83888a7@@
76720094c1624087ca7811891d8125d17b57d447,false,7f2388904beca2465f4ef6e16764a2a3d5feecb2,c4896aaab3aa8aa99809fc81be0ff85009e7452d,5daf70e7399afd434ef7fc7ac3b11693fa185f58,6,2,8,4.0,3.46,7f2388904beca2465f4ef6e16764a2a3d5feecb2@@73e8851f271ee3c1bf5aa8fec1ec256026557000@@a0f943994fb66104ed5b07dde3776d33817a735d@@518934751bb9f2819d9e5b08d87d8f87dee6135d@@36da967dbe3dd7ba304bea6f3b8524611fee8004@@9812dc63442d63e00b4466884e6341cceb0da7a3@@,c4896aaab3aa8aa99809fc81be0ff85009e7452d@@bddb3e2a8cebee77a5ebd19d9c6c83601e41e605@@
29973a74ddeaa0a5f28d1677c9541909be48b812,false,72a229a78a6bae6d656c207615a164ef908976b5,8e98805a9389944c86773b87871ed803dfa06d3d,4b75f069878f01cdab76359c3a076b715f9e449f,2,1,3,1.5,1.41,72a229a78a6bae6d656c207615a164ef908976b5@@aefa578004ca0e689fe8a4314f79a27f693b7613@@,8e98805a9389944c86773b87871ed803dfa06d3d@@
efb3cf51411bd470daaff7aa2db1f26b254af236,false,9c95e97a01b67165f8b1296cf55f671fd7701a80,2f5192a33d0798acb2252643cf63dc658c754304,7e3bfac5492c4d57e858bf8e6aa79e083e2b9ac0,1,2,3,1.5,1.41,9c95e97a01b67165f8b1296cf55f671fd7701a80@@,2f5192a33d0798acb2252643cf63dc658c754304@@d8cb375828b05dd78818b3736c3fd00514218abd@@
edecf946b268d94590e05cd3325a50b1a39f06b2,false,d15e15a89740937505609ecd2b1422e5a8a1943e,6a4c949ad5ee999b61b350c9f4307caffcfef64e,acf15e5b6dcfb1b67e6f864f2cce6f13b8309683,1,1,2,1.0,1.0,d15e15a89740937505609ecd2b1422e5a8a1943e@@,6a4c949ad5ee999b61b350c9f4307caffcfef64e@@
7aedeae7baf697fddd54372b22f65b22d694dd58,true,0c585917b5366f536e344a8bfeef0a657dbf99e1,603d682a826a899ebd13a6e455ae1e6740178579,e7a91c8eec645f08ae3d01f99c55fbfb42c4bd4d,5,10,15,7.5,7.07,0c585917b5366f536e344a8bfeef0a657dbf99e1@@a358fdf344d6a99e6eab1bff431e0e86602c4a99@@c90d7c4ef0350544b8b344a4718c63bbbc0827cf@@bcead230b5538b29a7a3a9683ec790fed2024560@@bd0ee9713d9bae5171f8c5ed234aa3c596ad0bb1@@,603d682a826a899ebd13a6e455ae1e6740178579@@a9c4ad62380d7521a3cb87e978436b7cc2fd8ade@@1b2bdfa4e00b286ae0eb1e480669ea8387464519@@714bf9189e031666ac1e67d530ce62888efae11e@@8be01002eb4379db518eea3d264d1fd1b54769cc@@18f60e1707c62f6e7977138390c38d240b80434d@@4a834765b4a5c6fb5fd5eca3a0f911a87d34ad3e@@99cf22814df75b50be273d840027db1ce1769664@@51883dbdf54f4b52608a3dedbcac22d1352e78bf@@13fc63c07dafc5ca8c687a4f761cff83bc4076e9@@
