mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
7e38b2694671978b03f72d746b25886362763611,0,0,0,[ExoPlayer@ ExoPlayerInternal@ Seek@ MediaCodec@ Download@ Uri@ SampleQueuepingException@ PlayerNotification@ Player@ Subtitle@ TrackSelection],[]
49691e5117c5a358534b863a9ec15121c005f11a,0,0,0,[ExoPlayer@ ExoPlayerInternal@ MediaCodec@ Download@ Uri@ SampleQueuepingException@ PlayerNotification@ Player@ Subtitle@ TrackSelection],[]
203f737b0a4cbbf81982d657a0beb4ab50e9bc6c,0,0,0,[ExoPlayer@ ExoPlayerInternal@ MediaCodec@ Download@ Uri@ SampleQueuepingException@ PlayerNotification@ Player@ Subtitle@ TrackSelection],[]
9adf9542e143c1462ec1ba2ddeaefc01cfffe7a2,0,0,0,[Demo@ DemoDownload@ Player@ SampleChooser@ LeanbackPlayer@ ExoPlayer@ Analyticsener@ DefaultAnalyticsener@ Seek@ edMp4Extractor@ PsshAtom@ MediaCodec@ Download@ pingTrackSelector@ Cache@ Notification@ Dash@ PlayerEmsg@ DownloadDash@ Downloadener@ DefaultTrackName@ DownloadNotification@ PlayerNotification@ TrackName@ TrackSelection@ Robolectric],[]
d709df8e1a2447aa85886d8711d9df27f3932cbb,0,0,0,[],[Demo@ DemoDownload@ Player@ SampleChooser@ LeanbackPlayer@ ExoPlayer@ Analyticsener@ DefaultAnalyticsener@ edMp4Extractor@ PsshAtom@ Download@ pingTrackSelector@ Cache@ Notification@ Dash@ PlayerEmsg@ DownloadDash@ Downloadener@ DefaultTrackName@ DownloadNotification@ PlayerNotification@ TrackName@ TrackSelection@ Robolectric]
5912707deae1fd411ade2f65bcd8486818ff888f,0,1,1,[SampleChooser],[SampleChooser]
d9d13630a997165156670d92393e6261234ca6fe,0,1,8,[Player@ Demo@ DemoDownload@ SampleChooser@ Casts@ ByteArrayUploadData@ LeanbackPlayer@ DefaultPlayback@ ExoPlayer@ ExoPlayerInternal@ MediaPeriod@ Analyticsener@ DefaultAnalyticsener@ Ac3@ ChannelpingAudioProcessor@ ClearKey@ DefaultDrmSessionEventener@ DefaultDrmSession@ edMp4Extractor@ PsshAtom@ MediaCodec@ MediaFormat@ Download@ DefaultMediaSourceEventener@ MediaSourceEventener@ pingTrackSelector@ Cache@ Notification@ Robolectric@ Dash@ PlayerEmsg@ DownloadDash@ DefaultTrackName@ DownloadNotification@ PlayerNotification@ TrackName@ TrackSelection@ Mockito@ Downloadener],[Player@ ByteArrayUploadData@ DefaultPlayback@ ExoPlayer@ ExoPlayerInternal@ Robolectric@ Dash@ Mockito]
b5912efb031cf5dbaea108cb39834f2ad120e108,0,0,0,[Player@ Demo@ SampleChooser@ Casts@ DefaultPlayback@ ExoPlayer@ ExoPlayerInternal@ MediaPeriod@ Analyticsener@ DefaultAnalyticsener@ Ac3@ ChannelpingAudioProcessor@ ClearKey@ DefaultDrmSessionEventener@ DefaultDrmSession@ edMp4Extractor@ MediaFormat@ Download@ DefaultMediaSourceEventener@ MediaSourceEventener@ pingTrackSelector@ DownloadNotification@ PlayerNotification@ Robolectric],[]
650f96fd6e5294244a0f4db7c85848fa69cd22d6,0,0,0,[Player@ Demo@ SampleChooser@ Casts@ DefaultPlayback@ ExoPlayer@ ExoPlayerInternal@ MediaPeriod@ Analyticsener@ DefaultAnalyticsener@ Ac3@ ChannelpingAudioProcessor@ ClearKey@ DefaultDrmSessionEventener@ DefaultDrmSession@ edMp4Extractor@ Download@ DefaultMediaSourceEventener@ MediaSourceEventener@ pingTrackSelector@ PlayerNotification],[]
d07594548709b568bb394707e34bbbd0793d769e,0,0,0,[Player@ Demo@ DefaultPlayback@ ExoPlayer@ ExoPlayerInternal@ MediaPeriod@ Analyticsener@ DefaultAnalyticsener@ Ac3@ ChannelpingAudioProcessor@ ClearKey@ DefaultDrmSessionEventener@ DefaultDrmSession@ edMp4Extractor@ Download@ DefaultMediaSourceEventener@ MediaSourceEventener@ pingTrackSelector@ DownloadNotification@ PlayerNotification@ Robolectric],[]
