mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
63812715aa7d832548817eb5c3ee51baf90bf063,0,0,0,[SwapWorkflow],[]
76150db0c2f9dbeceddcf7fcdebf8a4f7d57351c,0,0,0,[],[CleanCacheJob@ CleanCache@ DeleteCache@ UpdateJob@ Update@ s@ Apk@ InstalledApp@ Installer@ CacheSwapApps@ LocalRepo@ Swap@ ConnectivityMonitor@ WifiStateChange@ AppDetailsRecycler]
714a44ad5d1b29f1993541d59125ed1e8d903642,0,0,0,[],[FDroidInfo@ Update@ Swap@ SendFDroid@ StartSwap@ SwapWorkflow@ WifiQr]
4fa86f548b305615e3ee664da7b9f07fa726bd75,0,0,0,[],[AppUpdateStatus@ CleanCache@ DeleteCache@ Update@ s@ Install@ DeviceStorage@ AppDetailsRecycler@ AppItem@ SwapApps]
be11306a45534e301d9b5988ca3e384ec0d09c4b,0,0,0,[App@ InstallConfirm],[Preferences]
32e5471d6cf386de513899cd999590baeb8cb6e1,0,1,3,[AppUpdateStatus@ Install@ AppDetailsRecycler],[AppUpdateStatus@ Install@ AppDetailsRecycler]
ce0dfa48f92c9eabc4a2f04cc308c3c147eed273,0,0,0,[AppUpdateStatus@ Install@ AppDetailsRecycler],[]
a74c68afd42bce56cc1e6390a35e13fe368afe2b,0,0,0,[AppUpdateStatus@ s@ InstalledApp@ Updates],[AppDetailsRecycler]
6ad3604a0ed261acd56a15f5d458d37212fc0389,0,0,0,[AppDetailsRecycler@ PanicPreferences],[WifiQr]
1cd2e62505349a17b494c5124c8af2a88917a52e,0,0,0,[AppUpdateStatus@ CleanCache21@ RepoXML@ Update@ FDroid@ Swap@ WifiStateChange@ AppDetailsRecycler@ ScreenShots@ App@ WhatsNew@ AppPrefs@ InstalledApp@ Uris@ Repo@ AppDetails],[PanicPreferences]
96fb01ca52047f6d0367879da6f78d4cf0ab6309,0,0,0,[Update@ FDroid@ Swap@ WifiStateChange@ App@ AppPrefs@ InstalledApp@ Uris@ Repo@ AppDetails],[]
f32b26d5c341b2d9547baf2d0b12558022a4eec8,0,1,1,[Update@ FDroid@ Install@ Swap@ WifiStateChange@ AppDetailsRecycler@ ScreenShots@ Calculator@ Hiding@ CategoriesBinder@ WhatsNewBinder@ PanicPreferences@ PanicResponder@ WhatsNew@ AppPrefs@ App@ InstalledApp@ Uris@ Repo@ AppDetails],[App]
