mergeID,isConfliting,existsCommonSlices,totalCommonSlices
ef2da538a63f41b581e17f0966775b5741fe2e84,0,0,0
c24247e1a0131ade0b765a37b920cdf2bb103dd6,0,0,0
ad967ccee803fc1f45a856a2bc0bf681a6b534de,0,1,3
49fc4e19e98a917115808d460d670b501b1e12f1,0,1,1
b43f81cff84b8f830114febfb777331d60686c21,0,1,1
5726c55776fc0195b84bbb5c43823a0fd3053bfc,0,1,1
8cb8d088287de36aae39aa4a3a57d457f8430992,0,0,0
30dff043c58bac865a68717863e1ffa92c51d0c9,0,0,0
cd18bebe5c6a38491db458ea40ad87caaec457a3,1,1,28
8140b6946b6b211dee2996f414691b55c6e07feb,0,0,0
5da873559772904776ce95d72a784276ed6599ba,0,1,3
7c04ebab51a932f1572806a909e3a839b11f5bcd,0,0,0
6e863cb3d3f75370ea1a757c0c19105abbce65d1,0,0,0
372cc5e07c01e56bab4472205d5f2d857971f24d,0,1,1
7ca10f275acb8cacf2f176654d7a7fa00eb62553,0,0,0
0b9515a8d1ea580ba8943ef6fb70ea8c35754eca,0,0,0
09ad55a6cca4f0189aa47756cba9b04835b10361,0,0,0
a782f83ff5c476077c725994c7abb666e9610edb,0,0,0
a0ab61ab1763346035b809eb0a740362c5ccd97d,0,0,0
b39934b6018f89ad082cdb2c551c633e804b185f,0,0,0
289c58f5c612a50d478fda39c382cc7b13abb283,0,0,0
edcc39bf5a10f12b9dc8983b5d846995afc2e1d8,0,0,0
3fdb7fe54e6b15e2c257054122c5bfd8e557bc7c,0,0,0
b183e4f656e21a62aa2395df03a7def1c51f72f8,1,1,16
8fa3d3d8ae85aef0d51cdbb1eff27cb219e94f4f,0,0,0
ebb4531a33ae41480277da093f96899885b32dc8,0,1,6
2ae8bff1748de07d3f066ff2cc58b9cedabb959c,0,0,0
516cf45c80af9ea16922f1781ee576fbeb27927c,0,1,1
47feb6d9e0f72040c4e4b291d2b28b53656d34b0,0,1,1
2504ee02948d5bdcff657578d04b3dcf39633da2,1,1,34
f316700ee0e72d60396cd162bd4844d2ab8ff243,1,1,17
a6159abd0695cedc7636377001415236f3b96cb1,0,0,0
5af22be00360746d9672bc7c4825ff0d389c55cb,1,1,3
f91529753e25ec096d26d3bfd965ae87fd6d179b,0,0,0
efe5573a97bb8c06d26ed613076f73223b45b3e8,1,1,4
98779b2503fc87b0c3ebc8d22a862762d083acd6,0,1,2
4dbf2fc2785659cb7931b53a23b2fa2f69409e67,1,1,6
f9d9f7ff83be290a7f2d3a8843109f05de62a9fa,1,1,20
b18f351459ea78fcd9cb97498ab6ab7a7247d308,1,0,0
c19fdec2fb3da8d23730cf498db86729990775a1,0,0,0
3aff0b01860c9966433f4234e03d53db31774207,0,0,0
955f221e29b581699bad6323ad0517ef013c6011,0,0,0
c236865c0870a7b884daa19e0fad1ff1148ca163,0,0,0
c3cbe373c1e6e0a9d6dbe69f413e372c67a42085,0,0,0
dda1a22ef76e418ceda36a4cd1e44c285301557e,0,0,0
e6e295b425f7c470d8346185951bba1ead72adfe,0,0,0
fd5a437e893e79bf4a854e03c55e58c3f808b899,0,0,0
4fa3243893f8cf3deb07a9ad15e872fb8594c2a6,0,1,3
c4db889e0bc39c59ffd9b711391baef3aea6e2fd,0,0,0
962912681e51b86205f83007e7e7002ae158ce4c,0,0,0
147cd3688aa031c6eb38b1ff157cd6cb6ba0a586,0,0,0
05ef5d7f4ec93701084f1623e65d7a261fbcbcdf,0,0,0
0db9e825bd1e1d2845633426f5a7b965cc7411da,0,0,0
b74e57565db36fa8a443b490160d4f84dfb681a4,0,0,0
3cefc70bd22a7c0b0d865ca2aed241164dc099e6,0,0,0
c1bb6d9f9f758cfd91c9b64c7b02d959f181637f,0,0,0
d16aa3f027a246dfde18f6784f251d104fe1d447,0,0,0
1e11c7b535d134ef9c0e6430ffb153361a9ced3f,0,0,0
6e5978aeb545f805aead9950f659f9a6c1dd562f,0,1,3
ad6b52f2eebd298e6b611d840cf59591d959f1e3,0,1,3
c5550720c32ec6e6977bd9db734fb924464c0eba,0,0,0
856910bb5679c25f60245f7d2b2f424f921c7c3d,0,0,0
2dff5cebaf5d9547d73e9d135e5da1adedee4f67,0,0,0
04073dea021fd2bea7f9459be6db0b65d2bd5eb8,0,0,0
9ae127610c18e22716ad4d07471e3955fd11f347,0,0,0
909d1cf7e9f5362b3062f183e321f41009870a59,0,0,0
79c66f94cda215615734956305d743bd40a6c62e,0,0,0
7fc779779150ae29494bf2214b8a4ce22cfd87ed,0,0,0
