mergeID,isConfliting,existsCommonSlices,totalCommonSlices
e823db134de7c248f89d35c35aefe5a2540e1236,0,0,0
a692e99716b8d51bc5a79ff5fc326688ea3eed52,0,0,0
dd4cb91544d2461c148f036add6a1b3dd1b1e336,0,0,0
5e4b27708b6234427d8452d9e845b4dfa1c18dee,0,0,0
7e5c7dd4eb722eb38f9bffac0d9d66468104289c,0,1,1
3af8fadd76c4700fa97b392290c9589a66e7ebff,0,1,1
afc441f4805306e6909d44528c8e3de9bcb6daea,0,0,0
712b1331fb5f9d8736212dc40cb0364529300a18,1,1,2
a29ea4f1875a7394d19203762d43ff7b7b3740d6,0,0,0
3a6ef61d9be9d9f72516a0c360dd6d891c1d453a,0,0,0
e4058db7ac2c965b752d3ba1e386e6d16d22ed2e,0,0,0
b4d25a7a7ed40dec98a40c67fabf421e3e17abc8,1,1,3
18440b5fd1c39ca1032914b80a41ccb13ef226c8,1,1,1
3e9c4e20e75cf3916f0b193b396d00b09bf000a9,1,1,1
d7f60c8c4a091d29bb5bf1459049379db7dec7d1,1,0,0
9b2719c6672924aad3b3f85564803cbd7eb9e2cd,0,0,0
dd0e1548c185030f86d76a745c8b089d0b0beaec,0,1,1
c162baf5bea4d8feccf39e13e520bd61c56239d3,0,0,0
10f324ff8903dc94ac2c60717fd983e63a9e94fe,0,1,1
b3518ac9e70348a47e7ffae4aa4ba32d09636078,0,0,0
cefd65bf7addd82c4e39795bb4defef34eb0483b,0,0,0
b1ffdb686d1975c9adb72827294ac9bb64b7ff83,0,0,0
01a0a7ab7a8a551c626c426a457ae6dbf28f4b32,0,0,0
785e62bb4c7d8e9b5738bd28a8740e10fb898e35,0,0,0
f2ed8b6bae9cfa7df780cebc4992ede2add3eda2,0,0,0
b2c1ff19199a4cdacd4fc7bc882858ec2115ec81,0,0,0
de4b2eb421fa2350f2a32293c50309a608c6b2bc,0,1,2
1a249977456be4894d5a9954298e399ffa721ddc,0,0,0
1bc9384bcf3d4b8c2acfe85ac6987af47ae58cc2,0,0,0
e03b29184a5f33a68d27068674d2dae56e606193,0,0,0
37a616c0383d5f4967e56c8aec879fb9986a5f53,0,0,0
b94a07d28f442fd31c8f0a81a5243baa8411398b,0,0,0
72a8955a23dedad69c04505d5c68922ceae814ff,0,1,4
779a1f8192ea448b5233fd817efd92874f9483fa,0,1,6
e7484a6015efb0f54baf2f983cbb6df75e508283,0,0,0
0b29bd3dac92509140bbaae3bef0ae0904e72dc7,1,1,2
029818f3ec4732e7453334a02737144fd803450c,0,0,0
7b6625cd5460689503023d1745f3f288cd179704,0,1,3
797596cd2d26d116b75cdf1a9c503740d154721b,0,1,1
c479c074868881eb9bb5d3a167ceead195a25c3d,0,0,0
03269067b6cc99c2847aba17aec391bfa7916804,0,1,1
666da8bfa125595be631af524cbc9321840077de,0,0,0
9dc6aa5d9e2b1455872328e2658751ae1d5d2d7c,0,0,0
c74ebfd0535b88b35a0120f33fcb82830bcd007f,0,0,0
63446a341723fffb6228a140cc07e6237584d365,0,0,0
8108329b57dbc84904f1c9e0dd89a2fc905b9da4,1,0,0
3ed5bc6f4837f8f9c4e3dcde0b7c7df595768919,0,1,1
f0327278721ad9d30b9b38eb3e05fe375a3ac7ca,1,1,26
e3e3402dee8a40c9b3712a61f5e56a7fb09e5613,0,1,28
e43f26da82332c63142f25e3faa67efc07a51eeb,1,1,2
deb459c44adc4a7235619d0261629e1e48d877c1,1,1,1
31b514010d5a3dfadc09d3aa8b4ee1d4b55eeb19,0,0,0
af1e5194b98a58df7d31ebe79edc0ac26f6c8495,0,0,0
32f5876d4d7f6e450cc43550d5f2fd449d31e6b4,1,1,1
7f5f39c49eeace61dddf83a0cbf492b43f93aae3,1,1,2
777031f90301201c5ea83783ca1e1ee4fbf9aead,1,1,6
248ae9296f977381e234abc7edc9cce8c720b961,1,1,13
379a301161cc7928ff9febc9988dba41b7db454f,0,0,0
494e26204851be93e4e4636b99bf4587e91f1959,0,0,0
98dc9878bc64695ab62c1365549efe3f27ee927c,0,0,0
93760f88ef519297393513b8d442ebafac6750e7,0,1,7
e58182c4d04293d6ab0090e1ddcbfd799afc2dcb,0,1,1
5d99c63af54ec90490537cac3378e28575bde0ce,0,0,0
c694489fa0918841b676404622ba3fdc2148cdd0,0,0,0
2e547806d1702a0ef33389ee441378bbdc3a61fc,0,1,2
5681f95e42ff88f7d4c7630dbf66c852f73a3f58,1,1,3
8b186de09239febb0fcc012ccf7d9d9cb9fa9ad5,0,0,0
41fc04acd53fbffbd3bcc9511cb455be23389391,0,1,1
83961ed01fa6270f77849f29dcca03692912f879,0,0,0
e8be70c3cf44d3f126b69d8641011495aece1e7c,0,1,1
09fa8dab66b82ee46e6d63c240d7ee6a10a5873a,0,0,0
4e5e5501477c13114a8eb4ae658e15df456590aa,0,0,0
43b485562a30fa0c3ac2dfbba144dcbcc27be47f,0,0,0
f6b01aa4d9e51be9f049bb2846d00f3e9b28e920,0,1,7
a7c04627ec81565da293c6baa09e3b3a7cff5b6d,0,1,12
c8a81b622c6080a396cb40c0a188007e4c69be2b,0,0,0
