mergeID,isConfliting,existsCommonSlices,totalCommonSlices
63812715aa7d832548817eb5c3ee51baf90bf063,0,1,3
76150db0c2f9dbeceddcf7fcdebf8a4f7d57351c,0,0,0
714a44ad5d1b29f1993541d59125ed1e8d903642,0,1,3
4fa86f548b305615e3ee664da7b9f07fa726bd75,0,0,0
be11306a45534e301d9b5988ca3e384ec0d09c4b,0,0,0
32e5471d6cf386de513899cd999590baeb8cb6e1,0,1,6
ce0dfa48f92c9eabc4a2f04cc308c3c147eed273,0,1,1
a74c68afd42bce56cc1e6390a35e13fe368afe2b,0,0,0
6ad3604a0ed261acd56a15f5d458d37212fc0389,0,1,3
1cd2e62505349a17b494c5124c8af2a88917a52e,0,1,2
96fb01ca52047f6d0367879da6f78d4cf0ab6309,0,1,3
f32b26d5c341b2d9547baf2d0b12558022a4eec8,0,1,4
0982e8dd2dc68afc51fa61ac15ec630209d6c764,0,0,0
6260c11efc0f8296c19ee8d075cafbc556869cd1,0,0,0
6fe1fa581ff295fa141418f63671596ae3fac051,0,1,2
19596570923407953945ea332dbbbc6417591de4,0,0,0
c61024e070e8165ded471615916908c7641942e2,0,0,0
dd0f791e3fd2101beca2ba17c809c0ff135a2753,0,0,0
1ef92f55cd489a63015163e2f96349a24e8f84a0,0,0,0
92f94ef19526f29927b0db22e2a6ab1cd5e92004,0,1,1
ac7169262ea5e6bf8bd252821b2e42464d7904ff,0,0,0
4c6dd8d5ac4b636a0c237b4eec847db377b08c95,0,0,0
75d3e47572f87a3ce48e7cf950bfe6a6a498faaf,0,0,0
6be865f910969fb4499d6bbf0fd612989687a070,0,1,1
f3a58980f440e952bd60782051e93293aff33900,0,0,0
7e767d0f44b1b5ba5bc8003bf242109bc5889393,0,0,0
41ae4867d9773c0e04c63182b5e5320ec56603e9,0,0,0
5e91bb7892af5d779ef7bb8013ffaea0f74e84d4,0,0,0
695394fe7190a8310adfb05a401e29f6dd76c2f5,0,1,1
8bececfa58358558925ac4bf7bbeda5d83b8a496,0,0,0
5144aedec957bd4b5b497d727fb83c72f1a24fd0,0,1,1
fc2093a9a6c16eed7087a313c55167728a8e16b8,0,1,8
aa2d791531dbca140a63f967f49e62a22d103c7c,0,0,0
312bc9f503e910f9bcf955e23f0ace79d489c555,0,1,1
2dbeb6066607863b6d930492ba5b93dbd409d32f,0,1,1
a48a92385edd5d85217fa7419957fa4ffcac66ae,0,1,6
d65d64f6f82b25fdbcf15762e96dec5b172a4243,0,1,3
339deb97d9d3bc2b474aa01a5ee67ac010cd82b9,0,1,2
