mergeID,isConfliting,existsCommonSlices,totalCommonSlices
b4062146a9458aab796dea2018746d0502b66402,1,0,0
f73a64050daf4334b9286f76166a521fd5a561a8,0,0,0
fe92c98661e3b0817aed2c26dee258b0a572dd5e,0,1,1
cd0d23d2606c35d783457f2a945f539382018285,0,1,9
39a462431fb291fe597f0edf93ce3548ec0a9ff2,0,1,5
03b20790870731c6b797fd494339d4f33288f75a,0,0,0
ed4b7dd96f726cecd51765281d159e0e6d87366c,0,0,0
48294a9f1827b49d128209e865477baba0113bed,0,1,1
407f92be12e1e69a4de51c228153d697782195fd,1,1,21
f6faca95c0786b973ba3a218934211c33ad467d0,0,0,0
b156458d832e54420627b28662d347b774c3e109,0,0,0
930330fbb46a25a7f1d6bce754836efb6f6cbfee,0,0,0
121f1d9d792e2682c847cf16855fc9a8d75e7152,0,0,0
e04e53782915ce8b89e8e8aa649429fc660888df,0,0,0
dacd7787bc9b6224a07e063b9ede8c9d472f29ee,0,1,2
e9695a426f8b07bf7a70e36014aead6fb1da8e64,0,1,5
e12751986b57f86509766fd999974110f2e5b54c,0,1,26
56aa64725c5beb1fed1951826b91f8632b42cf92,1,1,30
a4a7c9ebb924cbe6856d9fb1d5b4b94cbfb0d1b4,0,0,0
0a4bdfe65aec79e0a3c92246007b8d3269afc9eb,0,1,4
c9a2bbc2c9709a0c1f0d20ea8168bd7a7a1b95d5,0,0,0
4edaa2e6fc1bc6be9ef1d6bbf5659ed2cc3d55ca,0,0,0
ff22099b88ebb9edd46a329b9af2846e42ce43d1,0,1,12
2cb4656d121e18f8525ebd5085e04ba592140ab1,0,0,0
cca1de8d0d77b100170173740b8d2e188b7b49c1,0,1,5
a9e269b3bf5a1800bc8f6d5e2b62924c09be80a3,0,1,2
1cc72b37288fed7682bf2c55f0baee85dfc5a947,0,0,0
0a5a31a16918f1f1935f89974015d9fc8206ebab,0,1,4
ccd29a9991ad271bfad2e7d911437805b5047552,0,0,0
c5e99c92b3e33c24983bacd63897681d4d7fe179,0,1,4
396d9c41a623632757d836f693398bf500808dbe,0,0,0
3dc2fc16c91e982922274319acd1f6f1d6d3b297,0,0,0
57b7b094bd61ecd8074046b980ecdadbb1dd57eb,0,0,0
5983e12a35b8a6605e16ca37127ce78aa5b45e56,0,0,0
43f450433eb91a698fcb2a9214cd4b3df2ca7d2e,0,1,1
02da84b93a553d663202aef633a203346822e6cd,0,1,1
68a0373d9fd834bed5a0e044d145cd44b50611c5,0,1,1
9cd9d455c85122bc919651ff4ccd75048f5da76d,0,0,0
894c7b63606c98e8d65b5e81266bab351cf4f35c,0,0,0
6dbe772345b7bb2ebd22a510adee9a36975451c4,0,0,0
0262325e3681673871f7d329f739b0515c38047f,0,0,0
c13acc624dcf680c00f629bccf580da3a5ae133d,0,0,0
287bb5f7e1ba528d4cc322a959d51627dbbb3c7b,0,0,0
94e8c2d92bd8806f92e3e2bb0317fce403bb3a20,0,0,0
77b199d0058574d5f6a011c3231b8656753dbce7,0,0,0
5526937698c6d45188ff273a3b18866da443c29c,1,1,6
82378f36476b7ceb44053df52b76dd7d3eb43e36,1,1,3
d3491d1858bf33f894f07652169254b5821b0e9d,1,1,78
e6498393a691367c031c5a09ff53d086a497d530,0,1,29
9adbf83182aa905d7e662783801fb87842716c93,0,1,3
2c9582c947a4dcac567048e0445d83576fd22839,0,1,7
0614b534008770981b7d2fa08b43aec03158de9b,0,0,0
be569bfb14fa3ca749764221aaa0bfc20e79ff82,0,0,0
b1c212c2fc62b96f272fc0cedf683018ff312801,0,0,0
fc4057d2c688f93c47cff73ca581ad9f58fd0116,0,0,0
4d156118ccdee7b7359123537a94d99e2febdac0,0,0,0
358f33553e1801d38d06cdd34feac6e25428f0e6,0,0,0
8b84b7003273c7dad7a17fa37b78fd6d17af056c,0,1,6
204c97b8de40ae5388171bc549bc6392c7c3d8fb,0,1,1
68754684b71685b10bc46aba336b2d90819e19d5,0,1,3
79d2b068acbc6804727c423de838d32d5d03e817,0,0,0
b22efb03d713117000c2160b1b41fb911106564c,0,1,3
b84cbe3edde31e98c8593dc244d3d7867c25f822,0,0,0
a98e127ab690e6f0944ed832a28c0d4ee448db67,0,0,0
95f5085a91be1a360f758e6e990c10d2a5dc128f,0,1,1
90cc07c9bb7335e5b8a2e4035f11f111d0af76cc,0,0,0
ee24c39fcab37751ec60834e24be3ab5ae229271,0,1,1
325c46715daa69605c9646f33ce577a246106ca2,0,0,0
7aae71e3bab10d5dff640ac1d85bf6433b6775bf,1,1,1
3eb637d690ec21cc9b98da1dde324c3ff2f07770,0,0,0
c69c48b62fdbcbf91b9a649bbe6ee46e0faa230e,0,1,3
688e123c3450cd077e6592cd47890a01cee0368e,0,1,5
5d8e820b82922b4345c02505d4dede0af423ec96,0,1,1
0ac3706d4fc107034395c190be0bb2365dd822e6,0,0,0
4ee195fba51aac2e4be1212214259a2214826870,0,1,4
43ea1070a85396a8ce2dd5b3a4467fed3017339b,0,0,0
b7dd5f4bf86a5bf151f43ddee10062ddae2fda48,0,0,0
1732664b578db9a42b12bfef50d049a01f6bd2ed,0,0,0
531026496117b75aa95394630989dbb2c28d5479,0,0,0
d4eab1581b0c63b10d0d54d5630336c60898803f,0,1,2
d471ccb04b9e3ad4675753fb5f14a76dab5c2e0b,0,1,1
7aaff18ac3634e64f7e6537fd4cb290e735ce4e9,0,0,0
657a91b036aa86d94734f8b0ef88a036ec5a48a5,0,0,0
a8d72b3c6f3af996d57fc571d029187d88dcfd20,0,0,0
341928b3bac5ee86f04251790488c4b0a259387a,0,0,0
48edae7db673c9582d6716919f1d14568252dc14,0,0,0
fd2f39ff108011a87cd31de3b6a24c4ac4967958,0,0,0
e76e78cb561690f908910370e5549f1bd9f91d96,0,0,0
fb0658883d0c79b9f5f6f03b7752f90afbfcf888,0,0,0
dcb3b578ac56e4421e45a408899156d5225a1953,0,0,0
4a37d16e433843ac18c53b5bc27676f2073d7b4c,0,1,7
9542ef156989cefe9534f414f034195f8b717b8f,0,0,0
4e7402c214be9b031399be224f3ec4b8d6290c49,0,1,2
f1b04d45e4231f47040883d5962557b97821785f,0,0,0
aad56bea56c320cc84bd7f9472f3caff996e411c,0,0,0
7da9e8876be9ef8dfd1a54c170d62d5dd8de16f1,0,1,4
e42a76219df0ef0af5f9b92384eaf03f9ffbb22c,0,0,0
ef4bd9fd560b735e08078cc92bfd1413a0053d93,0,0,0
001290f78326586bd78b46d0b8f219a2b090b3df,0,1,1
25a8334acae4cafa4e615729a07a1f1748d6d55a,0,0,0
f56b07b4cf92e7626db6a4ac83219861d130f815,0,0,0
