project,totalMerges,totalRandomMerges
MPAndroidChart,229,30
leakcanary,99,30
SmartRefreshLayout,47,30
BaseRecyclerViewAdapterHelper,170,30
material-dialogs,89,30
ExoPlayer,240,30
MaterialDrawer,195,30
GSYVideoPlayer,47,30
ARouter,54,30
vlayout,52,30
JiaoZiVideoPlayer,116,30
PermissionsDispatcher,65,30
uCrop,31,30
BottomBar,91,30
MVPArms,43,30
atlas,127,30
UltimateRecyclerView,111,30
UltimateAndroidReference,46,30
VirtualXposed,139,30
PictureSelector,146,30
Android-Debug-Database,30,30
Timber,68,30
VirtualApp,150,30
NewPipe,599,30
android-classyshark,41,30
quickstart-android,146,30
android-oss,354,30
mosby,34,30
android-job,31,30
material-calendarview,70,30
Small,55,30
android-advancedrecyclerview,57,30
Android-Image-Cropper,40,30
Alerter,33,30
FastHub,247,30
Android-Iconics,103,30
react-native-push-notification,62,30
PageIndicatorView,36,30
CloudReader,43,30
koin,84,30
FirebaseUI-Android,228,30
Fotoapparat,48,30
Conversations,429,30
react-native-splash-screen,31,30
Robust,40,30
spruce-android,41,30
Android-Week-View,46,30
FlexibleAdapter,44,30
LeafPic,205,30
fuel,47,30
Lawnchair,12655,30
ChatKit,49,30
storio,143,30
Tangram-Android,34,30
FastAdapter,176,30
mpush,95,30
Auto.js,34,30
Aria,94,30
uhabits,74,30
qksms,79,30
web3j,172,30
AboutLibraries,163,30
Phonograph,88,30
UltimateAndroid,54,30
Smack,170,30
react-native-mapbox-gl,123,30
materialistic,386,30
Shuttle,65,30
PlaceHolderView,34,30
Twidere-Android,75,30
Andromeda,39,30
smooth-app-bar-layout,32,30
AndroidGodEye,31,30
android-about-page,48,30
react-native-fcm,55,30
react-native-share,53,30
ExoMedia,75,30
Simple-Calendar,99,30
YalpStore,45,30
Moxy,53,30
CompactCalendarView,38,30
MyDiary,41,30
Amigo,33,30
Router,43,30
Hyperion-Android,35,30
android,1633,30
expandable-recycler-view,41,30
MiPushFramework,45,30
CacheWebView,48,30
conference-app-2018,356,30
Voice,141,30
orgzly-android,86,30
StreetComplete,132,30
syncthing-android,52,30
keepass2android,107,30
Virtualview-Android,34,30
Slide,435,30
ThirtyInch,47,30
chat-sdk-android,78,30
andOTP,51,30
phphub-android,50,30
Silence,131,30
proteus,47,30
FragNav,41,30
talon-for-twitter-android,394,30
AdvancedAndroid,31,30
toothpick,49,30
UsbSerial,34,30
WiFiAnalyzer,97,30
react-native-ble-manager,36,30
material-remixer-android,57,30
SwipeableCard,30,30
Simple-Gallery,186,30
android-proguards,37,30
Rocket.Chat.Android,1044,30
android,85,30
SingleDateAndTimePicker,38,30
AndroidAnimationExercise,33,30
Fetch,74,30
Tusky,151,30
apkupdater,41,30
Etar-Calendar,3206,30
openlauncher,65,30
react-native-sentry,30,30
Clover,38,30
CountryCodePickerProject,42,30
AppiumTestDistribution,36,30
AnyChart-Android,49,30
habitica-android,223,30
quill,34,30
Gitskarios,150,30
SkyTube,214,30
okreplay,30,30
Applozic-Android-SDK,260,30
Remindly,31,30
apps-android-commons,638,30
androidclient,1231,30
awesome-conferences-database,81,30
Learning-Resources,124,30
linphone-android,204,30
Android-Orma,66,30
download-manager,282,30
forecastie,89,30
libaums,36,30
anyRTC-RTMPC-Android,39,30
arcgis-runtime-samples-android,174,30
samourai-wallet-android,288,30
red-moon,79,30
FishBun,56,30
collect,308,30
android-studio-poet,60,30
deltachat-android,77,30
AztecEditor-Android,366,30
workflow,55,30
KeePassDX,117,30
openfoodfacts-androidapp,209,30
JOML,32,30
glucosio-android,96,30
sitewhere,49,30
MinMinGuard,46,30
PickImage,31,30
ElasticProgressBar,49,30
openhab-android,30,30
AndroidN-ify,43,30
FaceSlim,36,30
AndrOBD,44,30
settlers-remake,380,30
braintree_android,38,30
squanchy-android,329,30
android-app,140,30
nextcloud-notes,33,30
My-Wallet-V3-Android,890,30
android-daily-tips,45,30
Jockey,78,30
matomo-sdk-android,56,30
dont-kill-my-app,48,30
android-app,159,30
telegram-sms,55,30
TrebleShot,110,30
LabCoat,53,30
android-money-manager-ex,157,30
cordova-plugin-app-update,30,30
Android-Rich-text-Editor,41,30
android-gradle-aspectj,42,30
libphonenumber-android,60,30
Memento-Calendar,157,30
WindView,30,30
edx-app-android,409,30
APlayer,82,30
nfcgate,44,30
